เลขมาตรา,เนื้อหา / สาระสำคัญ
มาตรา 288 ผู้ใดฆ่าผู้อื่น,
มาตรา 289 เหตุฉกรรจ์ฆ่า,"ผู้ใด (1) ฆ่าบุพการี (2) ฆ่าเจ้าพนักงานทำ/จะทำ/ได้ทำตามหน้าที่
(3) ฆ่าผู้ช่วยเหลือจพง. (4) ฆ่าผู้อื่นโดยไตร่ตรอง (5) ฆ่าโดยทรมาน ทารุณ (6) ฆ่าผู้อื่นเพื่อเตรียม/ความสะดวกที่จะทำความผิดอย่างอื่น กระทำความผิดอื่น เพื่อปกปิดความผิดอื่นของตน หรือเพื่อหลีกเลี่ยงให้พ้นอาญาในความผิดอื่นที่ตนได้กระทำไว้
(7) ฆ่าผู้อื่นเพื่อจะเอา/เอาไว้ซึ่งผลประโยชน์อันเกิดแต่การที่ตนได้กระทำความผิดอื่น เพื่อปกปิดความผิดอื่นของตน หรือเพื่อหลีกเลี่ยงให้พ้นอาญาในความผิดอื่นที่ตนได้กระทำไว้"
มาตรา 290 ฆ่าโดยไม่เจตนา,"ผู้ใดมิได้มีเจตนาฆ่า แต่ทำร้ายผู้อื่นจนเป็นเหตุให้ผู้นั้นถึงแก่ความตาย
ว2.ถ้าความผิดนั้นมีลักษณะในมาตรา 289"
มาตรา 291 ทำให้ตายโดยประมาท,ผู้ใดกระทำโดยประมาท และการกระทำนั้นเป็นเหตุให้ผู้อื่นถึงแก่ความตาย
มาตรา 294 ตายโดยชุลมุน,ผู้ใดเข้าร่วมการชุลมุนต่อสู้ ระหว่างบุคคลตั้งแต่สามคนขึ้นไป และบุคคลหนึ่งบุคคลใดไม่ว่าจะเป็นผู้ที่เข้าร่วมในการนั้นหรือไม่ ถึงแก่ความตายโดยการกระทำในการชุลมุนต่อสู้นั้น
มาตรา 295 ทำร้ายอันตรายแก่กาย,ผู้ใดทำร้ายผู้อื่น จนเป็นเหตุให้เกิดอันตรายแก่กายหรือจิตใจของผู้อื่นนั้น ผู้นั้นกระทำความผิดฐานทำร้ายร่างกาย
มาตรา 296 เหตุฉกรรจ์ทำร้าย,ผู้ใดกระทำความผิดฐานทำร้ายร่างกาย ถ้าความผิดนั้น มีลักษณะประการหนึ่งประการใดดังที่บัญญัติไว้ในมาตรา 289
มาตรา 297 ผลฉกรรจ์ทำร้าย อันตรายสาหัส,"ผู้ใดทำความผิดฐานทำร้ายร่างกาย จนเป็นเหตุให้ผู้ถูกกระทำร้ายรับอันตรายสาหัส
อันตรายสาหัสนั้น คือ
(1) ตาบอด หูหนวก ลิ้นขาด หรือเสียฆานประสาท
(2) เสียอวัยวะสืบพันธุ์ หรือความสามารถสืบพันธุ์
(3) เสียแขน ขา มือ เท้า นิ้วหรืออวัยวะอื่นใด
(4) หน้าเสียโฉมอย่างติดตัว
(5) แท้งลูก
(6) จิตพิการอย่างติดตัว
(7) ทุพพลภาพ หรือป่วยเจ็บเรื้อรังซึ่งอาจถึงตลอดชีวิต
(8) ทุพพลภาพ หรือป่วยเจ็บด้วยอาการทุกขเวทนาเกินกว่ายี่สิบวัน หรือจนประกอบกรณียกิจตามปกติไม่ได้เกินกว่ายี่สิบวัน"
มาตรา 298 เหตุฉกรรจ์อันตรายสาหัส,ผู้ใดทำความผิดตามมาตรา 297 ถ้าความผิดนั้นมีลักษณะประการหนึ่งประการใดดังที่บัญญัติไว้ในมาตรา 289
มาตรา 299 ชุลมุนต่อสู้ สาหัส,ผู้ใดเข้าร่วมในการชุลมุนต่อสู้ระหว่างบุคคลสามคนขึ้นไป และบุคคลรับอันตรายสาหัส โดยการกระทำในการชุลมุนต่อสู้นั้น
มาตรา 300 ประมาทจนอันตรายสาหัส,ผู้ใดกระทำโดยประมาท และการกระทำนั้นเป็นเหตุให้ผู้อื่นรับอันตรายสาหัส
มาตรา 301 ทำหรือยอมทำแท้ง,หญิงใดทำให้ตนเองแท้ง หรือยอมให้ผู้อื่นทำให้ตนแท้งลูก ขณะมีอายุครรภ์เกินสิบสองสัปดาห์
มาตรา 302 ผู้ทำให้หญิงแท้ง,"ผู้ใดทำให้หญิงแท้งลูกโดยหญิงนั้นยินยอม
ถ้าการกระทำนั้นเป็นเหตุให้หญิงรับอันตรายสาหัสอย่างอื่นด้วย
ถ้าการกระทำนั้นเป็นเหตุให้หญิงถึงแก่ความตาย"
