เลขมาตรา,เนื้อหา / สาระสำคัญ
มาตรา 39 เงินได้พึงประเมิน,เงินได้พึงประเมิน คือ เงินได้อันเข้าลักษณะเสียภาษี รวมถึงทรัพย์สิน ประโยชน์อย่างอื่น อาจคิดคำนวณได้เป็นเงิน เงินค่าภาษีที่ผู้อื่นจ่ายให้ ตามมาตรา 40 และเครดิตภาษีตามมาตรา 47 ทวิ ด้วย
มาตรา 40 ประเภทเงินได้,"(1) เงินที่ได้จากการจ้างแรงงาน เงินเดือน ค่าจ้าง เบี้ยเลี้ยง โบนัส เบี้ยหวัด บำเหน็จ บำนาญ เงินค่าเช่าบ้าน
(2) เงินได้จากสัญญาจ้างทำของ ค่านายหน้า ค่าส่วนลด เงินอุดหนุนในงานที่ทำ เบี้ยประชุม บำเหน็จ โบนัส เงินค่าเช่าบ้าน
(3) ค่าแห่งกู๊ดวิลล์ ค่าลิขสิทธิ์ เงินปี อันได้มาจากพินัยกรรม นิติกรรม หรือคำพิพากษา
(4) เงินได้จากการลงทุน (ก) ดอกเบี้ยพันธบัตร เงินฝาก หุ้นกู้ ตั๋วเงิน (ข) เงินปันผล ว2 หากเป็นกรณีที่ผู้เยาว์ ได้เงินปันผลหรือส่วนแบ่งกำไรจำนวนเท่าใด มิให้ถือว่าเป็นเงินได้ของผู้เยาว์แต่ให้ถือว่าเป็นเงินได้ของบิดามารดา
(5) เงินได้จากค่าเช่าหรือค่าผิดสัญญาเช่าซื้อ
(6) เงินได้จากวิชาชีพอิสระ นักกฎหมาย แพทย์ วิศวะ สถาปัตย์ บัญชี จิตรกร
(7) รับเหมาก่อสร้าง โดยผู้รับเหมาซื้ออุปกรณ์เอง
(8) เงินที่ได้จากการทำธุรกิจ การพาณิชย์ การเกษตร การอุตสาหกรรม การขนส่ง หรือสิ่งอื่นที่ไม่ได้ระบุไว้ใน (1)-(7) เช่น มรดก ให้โดยเสน่หา เงินประกัน ค่าสินไหมละเมิด เงินรางวัล สลากกินแบ่ง รางวัลแข่งขัน"
มาตรา 41 อำนาจในการเก็บภาษี,"ผู้มีเงินได้ ม.40 ในปีภาษีที่ล่วงมาแล้ว เนื่องจากงาน หรือกิจการที่ทำในไทย หรือเนื่องจากกิจการของนายจ้างในไทย หรือเนื่องจากทรัพย์สินที่อยู่ในไทย ต้องเสียภาษีไม่ว่าเงินได้นั้นจะจ่ายในหรือนอกประเทศ
ผู้อยู่ในไทยมีเงินได้ม.40 ในปีภาษีที่ล่วงมาแล้ว เนื่องจากหน้าที่งานหรือกิจการที่ทำในต่างประเทศ หรือเนื่องจากทรัพย์สินที่อยู่ในต่างประเทศ ต้องเสียภาษีเงินได้เมื่อนำเงินได้นั้นเข้ามาในไทย
ผู้ใดอยู่ในประเทศไทยชั่วเวลาหนึ่งหรือหลายระยะ รวมเวลาถึง 180 วันในปีภาษีใด ให้ถือว่าผู้นั้นเป็นผู้อยู่ในประเทศไทย"
มาตรา 42 เงินได้ที่ได้รับยกเว้น,"เงินต่อไปนี้ให้ได้รับยกเว้นไม่ต้องรวมคำนวณเพื่อเสียภาษี
(1) ค่าเบี้ยเลี้ยงหรือค่าพาหนะที่ลูกจ้างจ่ายโดยสุจริต
(2) เบี้ยเลี้ยงตามที่กำหนดในพระราชกฤษฎีกา
(5) เงินเพิ่มพิเศษตำแหน่ง และค่าเช่าบ้าน/บ้านพักฟรี สำหรับข้าราชการสถานทูต
(6) เงินได้จากการขายหรือส่วนลดการซื้ออากรแสตมป์
(7) เบี้ยประชุม ค่าสอน ค่าสอบ ที่ทางราชการจ่าย
(8) ดอกเบี้ยจาก ก. ธ.ออมสิน ข. สหกรณ์ ค. ธนาคารอื่น (ยกเว้นภาษีไม่เกิน 20,000 บาท)
(9) การขายสังหาริมทรัพย์จากมรดก หรือที่ได้มาโดยไม่มุ่งค้า/กำไร
(10) เงินได้จากมรดก
(11) รางวัลเพื่อการศึกษา สลากกินแบ่ง สลากออมสิน หรือรางวัลทางราชการ
(12) บำนาญพิเศษ บำเหน็จพิเศษ บำนาญตกทอด
(13) ค่าสินไหมทดแทน เงินประกันภัย หรือฌาปนกิจสงเคราะห์
(15) เงินได้จากชาวนาขายข้าวที่ตนหรือครอบครัวทำเอง
(16) เงินได้จากกองมรดกตามมาตรา 57 ทวิ
(17) เงินได้ที่กฎกระทรวงกำหนดขอยกเว้น
(18) รางวัลสลากบำรุงกาชาดไทย
(19) ดอกเบี้ยตามมาตรา 4 ทศ
(25) เงินประโยชน์จากกองทุนประกันสังคม
(26) เงินได้จากการโอนอสังหาริมทรัพย์ให้บุตรชอบด้วยกฎหมาย (ไม่รวมบุตรบุญธรรม) ไม่เกิน 20 ล้านบาท/บุตร/ปี
(27) เงินได้จากการอุปการะหรือการให้โดยเสน่หาจากบุพการี ผู้สืบสันดาน หรือคู่สมรส ไม่เกิน 20 ล้านบาท/ปี
(28) เงินได้จากการอุปการะโดยหน้าที่ธรรมจรรยา หรือการให้โดยเสน่หาตามพิธี/ประเพณี จากบุคคลอื่น (ไม่ใช่บุพการี ผู้สืบสันดาน หรือคู่สมรส) ไม่เกิน 10 ล้านบาท/ปี
(29) เงินได้จากการให้โดยเสน่หาเพื่อกิจการศาสนา การศึกษา หรือสาธารณประโยชน์"
มาตรา 47 หักลดหย่อนภาษี,"เงินได้ เมื่อได้หักตามม.42ทวิ ถึงม.46 แล้ว ให้หักลดหย่อนได้อีกดังต่อไปนี้
(1) ลดหย่อนสำหรับ
(ก) ผู้มีเงินได้ 60,000 บาท
(ข) คู่สมรสของผู้มีเงินได้ 60,000 บาท
(ค) บุตร
(1) บุตรชอบด้วยกฎหมาย คนละ 30,000 บาท และตั้งแต่บุตรคนที่ 2 ที่เกิดตั้งแต่ พ.ศ. 2561 เพิ่มอีก 30,000 บาทต่อคน
(2) บุตรบุญธรรม คนละ 30,000 บาท (รวมไม่เกิน 3 คน)
หักได้เฉพาะบุตรอายุไม่เกิน 25 ปีที่ศึกษาอยู่, เป็นผู้เยาว์ หรือศาลสั่งไร้ความสามารถ/เสมือนไร้ความสามารถ และต้องไม่มีเงินได้เกิน 30,000 บาท/ปี
(ง) เบี้ยประกันชีวิตตามจริง แต่ไม่เกิน 10,000 บาท (กรมธรรม์ >= 10 ปี และเอากับบริษัทในประเทศ)
(ช) เงินสะสมกองทุนสำรองเลี้ยงชีพ ตามจริงไม่เกิน 10,000 บาท
(ซ) ดอกเบี้ยกู้ซื้อ/สร้างบ้าน ตามจริงไม่เกิน 10,000 บาท
(ฌ) เงินสมทบประกันสังคม ตามจริง
(ญ) ค่าเลี้ยงดูบิดามารดา (รวมของคู่สมรส) คนละ 30,000 บาท อายุ >= 60 ปี และมีรายได้ไม่พอเลี้ยงชีพ
(ฎ) ค่าเลี้ยงดูคนพิการ/ทุพพลภาพ คนละ 60,000 บาท (ต้องมีบัตรคนพิการหรือพิสูจน์ได้ว่าเป็นทุพพลภาพ)
(ฏ) บริจาคพรรคการเมือง ตามจริง แต่ไม่เกิน 10,000 บาท
(2) หากสามีภริยาต่างฝ่ายมีเงินได้ ให้หักรวมกันไม่เกิน 120,000 บาท
(3) ผู้มีเงินได้ที่ไม่ได้อยู่ในประเทศไทย หักเฉพาะคู่สมรสและบุตรที่อยู่ในประเทศไทย
(4) ผู้มีเงินได้ถึงแก่ความตายระหว่างปีภาษี ให้หักเสมือนยังมีชีวิตทั้งปี
(5) กองมรดก หักได้ 60,000 บาท
(6) ห้างหุ้นส่วนสามัญหรือคณะบุคคลที่มิใช่นิติบุคคล หักได้ตาม (1)(ก) สำหรับผู้เป็นหุ้นส่วน/บุคคลแต่ละคน รวมกันไม่เกิน 120,000 บาท
(7) เงินบริจาค
(ก) ให้สถานพยาบาลและสถานศึกษาของรัฐ
(ข) ให้องค์กรสาธารณกุศล หรือสถานพยาบาล/สถานศึกษาอื่นที่รัฐมนตรีประกาศ"
มาตรา 56,"บุคคลทุกคน (เว้นแต่ผู้เยาว์หรือผู้ที่ศาลสั่งไร้ความสามารถ/เสมือนไร้ความสามารถ) ต้องยื่นรายการเงินได้พึงประเมินที่ได้รับในปีภาษีที่ผ่านมา ภายในเดือนมีนาคมทุกปี ตามแบบที่อธิบดีกำหนด หากมีเงินได้ตามเกณฑ์ดังนี้
(1) ไม่มีคู่สมรส และมีเงินได้พึงประเมินเกิน 60,000 บาท
(2) ไม่มีคู่สมรส และมีเงินได้เฉพาะมาตรา 40(1) ประเภทเดียวเกิน 120,000 บาท
(3) มีคู่สมรส และมีเงินได้พึงประเมินเกิน 120,000 บาท
(4) มีคู่สมรส และมีเงินได้เฉพาะมาตรา 40(1) ประเภทเดียวเกิน 220,000 บาท
ห้างหุ้นส่วนสามัญหรือคณะบุคคลที่มิใช่นิติบุคคล หากมีเงินได้พึงประเมินเกินเกณฑ์ตาม (1) ต้องให้ผู้อำนวยการหรือผู้จัดการ ยื่นรายการภาษีในชื่อของห้างหุ้นส่วนหรือคณะบุคคล ภายในเวลาที่กำหนด และต้องเสียภาษีในชื่อดังกล่าว เสมือนเป็นบุคคลธรรมดาคนเดียว ผู้เป็นหุ้นส่วนหรือบุคคลในคณะบุคคล ไม่ต้องยื่นภาษีซ้ำอีก สำหรับเงินได้ดังกล่าว แต่ถ้ามีภาษีค้างชำระ หุ้นส่วนหรือบุคคลทุกคนต้องร่วมรับผิดในภาษีที่ค้างนั้นด้วย"
มาตรา 57,หากผู้มีเงินได้ตามมาตรา 56 วรรคหนึ่งเป็น ผู้เยาว์ ผู้ถูกศาลสั่งไร้ความสามารถ/เสมือนไร้ความสามารถ หรืออยู่ต่างประเทศ ให้ผู้แทนโดยชอบธรรม ผู้อนุบาล ผู้พิทักษ์ หรือผู้จัดการกิจการแล้วแต่กรณี เป็นผู้ยื่นรายการและชำระภาษีแทน
มาตรา 57 ทวิ (ฉบับย่อ),"หากผู้มีเงินได้ตามมาตรา 56 วรรคหนึ่ง ถึงแก่ความตาย ก่อนยื่นรายการให้เป็นหน้าที่ของ ผู้จัดการมรดก ทายาท หรือผู้ครอบครองทรัพย์มรดก แล้วแต่กรณี ปฏิบัติแทน โดยต้องยื่นรวม เงินได้ของผู้ตายและกองมรดก ในปีภาษีนั้นเป็นยอดเดียว
สำหรับปีต่อไป หากกองมรดกยังไม่ได้แบ่ง และมีเงินได้เกินเกณฑ์ตามมาตรา 56(1) ให้ผู้จัดการมรดก ทายาท หรือผู้ครอบครองทรัพย์มรดก ยื่นรายการภาษี ในนามกองมรดกของผู้ตาย"
มาตรา 57 ฉ,"ในการเก็บภาษีเงินได้จากสามีและภริยา ให้ต่างฝ่ายต่างยื่นรายการเงินได้ของตนตามมาตรา 56 ในกรณีที่ไม่อาจแยกได้ว่าเป็นของฝ่ายใด ให้ถือเป็นเงินได้ของสามีและภริยาฝ่ายละครึ่ง เว้นแต่เงินได้ตามมาตรา 40(8) สามีและภริยาอาจแบ่งกันตามที่ตกลง แต่ถ้าตกลงไม่ได้ให้ถือฝ่ายละครึ่ง
สามีและภริยาอาจตกลงยื่นรวม โดยถือเงินได้ของฝ่ายหนึ่งเป็นของอีกฝ่ายก็ได้ หรือจะแยกยื่นเฉพาะเงินได้ตามมาตรา 40(1) โดยไม่ต้องนับเป็นของอีกฝ่ายก็ได้ ทั้งนี้ หากมีภาษีค้างชำระ สามีและภริยาต้องร่วมกันรับผิดชำระ"
มาตรา 65,"เงินได้ที่ต้องเสียภาษีตามส่วนนี้ คือ กำไรสุทธิ ที่คำนวณจากรายได้ของกิจการ หักด้วยรายจ่ายตามเงื่อนไขในมาตรา 65 ทวิ และมาตรา 65 ตรี โดยรอบระยะเวลาบัญชีให้มีกำหนด 12 เดือน เว้นแต่มีเหตุให้กำหนดสั้นกว่าได้ ดังนี้
(ก) บริษัทหรือห้างหุ้นส่วนนิติบุคคลที่เริ่มตั้งใหม่ อาจถือวันเริ่มตั้งถึงวันหนึ่งวันใดเป็นรอบบัญชีแรก
(ข) บริษัทหรือห้างหุ้นส่วนนิติบุคคลอาจยื่นคำร้องขอเปลี่ยนวันสิ้นรอบบัญชีต่ออธิบดี ซึ่งอธิบดีมีอำนาจอนุญาตหรือไม่อนุญาตก็ได้ หากอนุญาตให้ถือปฏิบัติตามที่กำหนดตั้งแต่รอบบัญชีนั้นเป็นต้นไป
การคำนวณรายได้-รายจ่าย ให้ใช้ เกณฑ์สิทธิ โดยให้นำรายได้ที่เกิดขึ้นในรอบบัญชีใด แม้ยังไม่ได้รับชำระ มานับเป็นรายได้ในรอบนั้น และให้นำรายจ่ายที่เกี่ยวข้อง แม้ยังไม่ได้จ่ายจริง มานับเป็นรายจ่ายในรอบนั้นเช่นกัน
ทั้งนี้ หากมีความจำเป็น ผู้มีเงินได้อาจขออนุมัติต่ออธิบดีเพื่อเปลี่ยนจากเกณฑ์สิทธิ หรือวิธีการทางบัญชี เมื่อได้รับอนุมัติแล้ว ต้องถือปฏิบัติตั้งแต่รอบบัญชีที่อธิบดีกำหนด"
