เลขมาตรา,เนื้อหา / สาระสำคัญ
มาตรา 1 ในประมวลกฎหมายนี้,"(7) ""เอกสาร"" กระดาษหรือวัตถุซึ่งทำให้ปรากฏความหมายด้วยตัวอักษร ตัวเลข โดยวิธีพิมพ์ ถ่ายภาพ เป็นหลักฐานแห่งความหมาย
(8) ""เอกสารราชการ""เอกสารซึ่งเจ้าพนักงานได้ทำขึ้นหรือรับรอง รวมถึงสำเนาที่เจ้าพนักงานได้รับรอง
(9) ""เอกสารสิทธิ"" เอกสารที่เป็นหลักฐานแห่งการก่อ เปลี่ยนแปลง โอน สงวนหรือระงับซึ่งสิทธิ"
มาตรา 209 อั้งยี่,ผู้ใดเป็นสมาชิกคณะบุคคลซึ่งปกปิดวิธีการและมุ่งหมายเพื่อการอันมิชอบด้วยกฎหมาย ผู้นั้นกระทำความผิดฐานเป็นอั้งยี่
มาตรา 210 ซ่องโจร,ผู้ใดสมคบกันตั้งแต่ห้าคนขึ้นไป เพื่อทำความผิดในภาค 2 นี้ และความผิดนั้นมีกำหนดโทษจำคุกอย่างสูงตั้งแต่หนึ่งปี ผู้นั้นกระทำความผิดฐานเป็นซ่องโจร
มาตรา 211 ประชุมอั้งยี่ ซ่องโจร,ผู้ใดประชุมอั้งยี่หรือซ่องโจร ผู้นั้นผิดฐานเป็นอั้งยี่หรือซ่องโจร เว้นแต่ผู้นั้นจะแสดงได้ว่า ได้ประชุมโดยไม่รู้
มาตรา 212 จัดหา ชักชวน อุปการะ,"ผู้ใด (1) จัดหาที่ประชุม พำนัก (2) ชักชวน (3) อุปการะ (4) ช่วยจำหน่ายทรัพย์ได้มาโดยทำผิด
ต้องระวางโทษเช่นเดียวกับอั้งยี่หรือซ่องโจร"
มาตรา 213,สมาชิกอั้งยี่ซ่องโจรคนหนึ่งทำผิดตามมุ่งหมายนั้น สมาชิกที่อยู่ด้วยในขณะทำผิด หรืออยู่ที่ประชุมแต่ไม่ได้คัดค้าน และบรรดาหัวหน้า ผู้จัดการ หรือผู้มีตำแหน่งหน้าที่ ต้องระวางโทษตามที่บัญญัติไว้สำหรับความผิดนั้นทุกคน
มาตรา 217 เผาทรัพย์ผู้อื่น,ผู้ใดวางเพลิงเผาทรัพย์ของผู้อื่น ต้องระวางโทษ
มาตรา 218 บทหนักเผาทรัพย์,"ผู้ใดวางเพลิงเผาทรัพย์ดังต่อไปนี้
(1) โรงเรือน เรือ หรือแพ
(2) โรงเรือน เรือ หรือแพเก็บทำสินค้า
(3) โรงมหรสพ ที่ประชุม
(4) โรงเรือนสมบัติแผ่นดิน สาธารณสถาน ที่ประกอบพิธีกรรม
(5) สถานีรถไฟ ท่าอากาศยาน หรือที่จอดรถ เรือ สาธารณะ
(6) เรือกลไฟ เรือยนต์ห้าตัน อากาศยาน รถไฟขนส่งสาธารณะ"
มาตรา 219 ตระเตรียมเผาทรัพย์,ผู้ใดตระเตรียมทำผิดในม.217 218 ต้องระวางโทษเช่นเดียวกับพยายามกระทำความผิดนั้นๆ
มาตรา 220 เผาทรัพย์ตัวเอง อันตรายผู้อื่น,"ผู้ใดทำให้เพลิงไหม้ แม้เป็นของตนเอง จนน่าจะเป็นอันตรายแก่บุคคลอื่นหรือทรัพย์ของ
ว2.ถ้าการทำว1.เป็นเหตุเพลิงไหม้ทรัพย์ 218 ผู้กระทำต้องระวางโทษดังที่บัญญัติไว้ในมาตรา 218"
