เลขมาตรา,เนื้อหา / สาระสำคัญ
มาตรา 10 เงินประกันการทำงาน,"นายจ้างห้ามเรียกหรือรับหลักประกันการทำงานจากลูกจ้าง ไม่ว่าจะเป็นเงิน ทรัพย์สิน หรือการค้ำประกัน เว้นแต่งานนั้นเกี่ยวกับการดูแลเงินหรือทรัพย์สินของนายจ้างที่อาจก่อให้เกิดความเสียหายได้ โดยลักษณะงาน ประเภท มูลค่า และวิธีเก็บรักษาหลักประกันให้เป็นไปตามที่รัฐมนตรีกำหนด
หากนายจ้างได้เรียกหรือรับหลักประกันไว้ เมื่อเลิกจ้าง ลูกจ้างลาออก หรือสัญญาประกันสิ้นสุด นายจ้างต้องคืนหลักประกันพร้อมดอกเบี้ย (ถ้ามี) ให้แก่ลูกจ้างภายในเจ็ดวันนับแต่วันที่เหตุการณ์นั้นเกิดขึ้นแล้วแต่กรณี"
มาตรา 11/1 การเป็นนายจ้าง,"หากผู้ประกอบกิจการมอบหมายให้บุคคลใดจัดหาคนมาทำงาน ซึ่งไม่ใช่ธุรกิจจัดหางาน และงานนั้นเป็นส่วนหนึ่งของกระบวนการผลิต หรือธุรกิจที่อยู่ในความรับผิดชอบของผู้ประกอบกิจการ ไม่ว่าบุคคลนั้นจะควบคุมงานหรือเป็นผู้จ่ายค่าจ้างเองหรือไม่ก็ตาม ให้ถือว่าผู้ประกอบกิจการเป็นนายจ้างของคนที่มาทำงานนั้น
ผู้ประกอบกิจการต้องจัดให้ลูกจ้างรับเหมาค่าแรงได้รับสิทธิประโยชน์และสวัสดิการอย่างเป็นธรรม เช่นเดียวกับลูกจ้างที่จ้างโดยตรง โดยไม่เลือกปฏิบัติ"
มาตรา 15 จ้างงานเท่าเทียม,นายจ้างต้องปฏิบัติต่อลูกจ้างชายและหญิงอย่างเท่าเทียมกันในการจ้างงาน เว้นแต่งานนั้นมีลักษณะหรือสภาพที่ไม่อาจทำได้
มาตรา 16 คุกคามทางเพศ,ห้ามนายจ้าง หัวหน้างาน ผู้ควบคุมงาน หรือผู้ตรวจงาน ล่วงเกิน คุกคาม หรือก่อความเดือดร้อนรำคาญทางเพศต่อลูกจ้าง
มาตรา 17 สิ้นสุดสัญญาจ้าง,"สัญญาจ้างสิ้นสุดลงเมื่อครบกำหนดตามสัญญาโดยไม่ต้องบอกกล่าวล่วงหน้า
หากสัญญาจ้างไม่มีกำหนดเวลา นายจ้างหรือลูกจ้างเลิกสัญญาได้โดยบอกกล่าวล่วงหน้าเป็นหนังสือถึงหรือก่อนวันจ่ายค่าจ้างครั้งหนึ่ง เพื่อให้มีผลเลิกในวันจ่ายค่าจ้างครั้งถัดไป แต่ไม่เกินสามเดือน ทั้งนี้สัญญาจ้างทดลองงานถือเป็นสัญญาที่ไม่มีกำหนดเวลาด้วย
ในการบอกเลิกสัญญาตามวรรคสอง นายจ้างอาจจ่ายค่าจ้างแทนช่วงเวลาที่เหลือจนถึงวันที่เลิกสัญญามีผล และให้ลูกจ้างออกจากงานทันทีได้
การบอกกล่าวล่วงหน้าตามมาตรานี้ไม่ใช้กับการเลิกจ้างตามมาตรา 119 แห่งพระราชบัญญัตินี้ และมาตรา 583 แห่งประมวลกฎหมายแพ่งและพาณิชย์"
มาตรา 23 วัน เวลาการทำงาน,"นายจ้างต้องประกาศเวลาทำงานปกติ โดยกำหนดเวลาเริ่มและเลิกงานวันหนึ่งไม่เกิน 8 ชั่วโมง หากวันใดทำงานน้อยกว่า 8 ชั่วโมง นายจ้างและลูกจ้างอาจตกลงนำเวลาที่เหลือไปรวมกับวันอื่นได้ แต่ต้องไม่เกินวันละ 9 ชั่วโมง และรวมแล้วสัปดาห์ละไม่เกิน 48 ชั่วโมง เว้นแต่งานที่เสี่ยงอันตรายต่อสุขภาพและความปลอดภัย ต้องทำงานวันละไม่เกิน 7 ชั่วโมง และรวมแล้วสัปดาห์ละไม่เกิน 42 ชั่วโมง
หากตกลงนำเวลาที่เหลือไปรวมกับวันอื่นจนเกิน 8 ชั่วโมงต่อวัน นายจ้างต้องจ่ายค่าตอบแทนไม่น้อยกว่าหนึ่งเท่าครึ่งของค่าจ้างต่อชั่วโมงในวันทำงาน สำหรับลูกจ้างรายวันและรายชั่วโมง หรือไม่น้อยกว่าหนึ่งเท่าครึ่งของค่าจ้างต่อหน่วยผลงานในวันทำงาน สำหรับลูกจ้างที่ได้รับค่าจ้างตามผลงาน
กรณีนายจ้างไม่อาจกำหนดเวลาเริ่มและเลิกงานแต่ละวันได้เพราะลักษณะงาน ให้นายจ้างและลูกจ้างตกลงกำหนดเวลาทำงานไม่เกินวันละ 8 ชั่วโมง และรวมแล้วสัปดาห์ละไม่เกิน 48 ชั่วโมง"
มาตรา 24 ทำงานล่วงเวลา,"ห้ามนายจ้างให้ลูกจ้างทำงานล่วงเวลาในวันทำงาน เว้นแต่ลูกจ้างยินยอมเป็นครั้ง ๆ ไป
ถ้างานมีลักษณะต้องทำต่อเนื่องมิฉะนั้นจะเสียหาย เป็นงานฉุกเฉิน หรือเป็นงานที่กำหนดในกฎกระทรวง นายจ้างอาจให้ลูกจ้างทำงานล่วงเวลาได้เท่าที่จำเป็น"
มาตรา 27 เวลาพัก,"ในวันทำงาน นายจ้างต้องให้ลูกจ้างพักไม่น้อยกว่า 1 ชั่วโมง หลังจากทำงานไม่เกิน 5 ชั่วโมงติดต่อกัน แต่สามารถตกลงล่วงหน้าให้พักครั้งหนึ่งน้อยกว่า 1 ชั่วโมงได้ หากรวมแล้ววันหนึ่งไม่น้อยกว่า 1 ชั่วโมง
หากนายจ้างและลูกจ้างตกลงกำหนดเวลาพักต่างไปจากวรรคหนึ่ง และเป็นประโยชน์แก่ลูกจ้าง ให้ถือว่าข้อตกลงนั้นใช้ได้
เวลาพักไม่นับเป็นเวลาทำงาน เว้นแต่รวมแล้วเกิน 2 ชั่วโมง ให้นับส่วนที่เกินเป็นเวลาทำงานปกติ
หากมีการทำงานล่วงเวลาไม่น้อยกว่า 2 ชั่วโมงต่อจากเวลาปกติ นายจ้างต้องให้ลูกจ้างพักไม่น้อยกว่า 20 นาทีก่อนเริ่มงานล่วงเวลา
บทวรรคหนึ่งและวรรคสี่ ไม่ใช้บังคับเมื่อการทำงานต้องทำต่อเนื่องโดยลูกจ้างยินยอม หรือเป็นงานฉุกเฉิน"
มาตรา 28 วันหยุดประจำสัปดาห์,"นายจ้างต้องจัดให้ลูกจ้างมีวันหยุดประจำสัปดาห์ไม่น้อยกว่าสัปดาห์ละ 1 วัน โดยวันหยุดแต่ละครั้งห่างกันไม่เกิน 6 วัน และอาจตกลงล่วงหน้ากำหนดวันหยุดวันใดก็ได้
หากลูกจ้างทำงานโรงแรม งานขนส่ง งานป่า งานในที่ทุรกันดาร หรือ งานอื่นที่กฎกระทรวงกำหนด นายจ้างและลูกจ้างอาจตกลงสะสมวันหยุดและเลื่อนไปหยุดเมื่อใดก็ได้ แต่ต้องไม่เกิน 4 สัปดาห์ติดต่อกัน"
มาตรา 30 หยุดพักผ่อนประจำปี,"ลูกจ้างที่ทำงานครบ 1 ปี มีสิทธิหยุดพักผ่อนประจำปีไม่น้อยกว่า 6 วันทำงาน โดยนายจ้างกำหนดวันล่วงหน้า หรือตามตกลงกับลูกจ้าง
ในปีถัดไปอาจกำหนดวันหยุดให้มากกว่า 6 วันก็ได้
นายจ้างและลูกจ้างอาจตกลงล่วงหน้าให้นำวันหยุดพักผ่อนที่ยังไม่ได้ใช้สะสมและเลื่อนไปรวมกับปีต่อ ๆ ไปได้
สำหรับที่ทำงานยังไม่ครบ 1 ปี นายจ้างอาจกำหนดวันหยุดประจำปีให้ตามส่วนได้"
