เลขมาตรา,เนื้อหา / สาระสำคัญ
มาตรา 4,"กระทำความผิดในราชอาณาจักร ให้รับโทษตามกม.
ว.2 กระทำในเรือไทย/อากาศยานไทยไม่ว่าที่ใด ถือว่ากระทำในไทย"
มาตรา 7,ผู้ใดกระทำความผิดดังระบุไว้ต่อไปนี้นอกราชอาณาจักร จะต้องรับโทษในราชอาณาจักร คือ (ในความผิด ก่อให้เกิดภยันตราย เอกสาร บัตรอิเล็กทรอนิกส์ หนังสือเดินทาง เพศ ชีวิต ร่างกาย ทอดทิ้ง เสรีภาพ ลัก วิ่ง กรร รีด ชิง ปล้น ฉ้อโกง ยักยอก รับของโจร ทำให้เสียทรัพย์)
มาตรา 5,"ความผิดใดที่การกระทำแม้แต่ส่วนหนึ่งส่วนใดได้กระทำในราชอาณาจักร/ผลแห่งการกระทำเกิดในราช โดยผู้กระทำประสงค์ให้ผลนั้นเกิดในราชอาณาจักร หรือโดยลักษณะแห่งการกระทำ ผลที่เกิดขึ้นควรเกิดในราชอาณาจักร หรือย่อมจะเล็งเห็นได้ว่าผลนั้นจะเกิดในราชอาณาจักรก็ดี ให้ถือว่าความผิดนั้นได้กระทำในราชอาณาจักร
ว.2 ในกรณีการตระเตรียมการ หรือพยายามกระทำการใดซึ่งกฎหมายบัญญัติเป็นความผิด แม้การกระทำนั้นจะได้กระทำนอกราชอาณาจักร ถ้าหากการกระทำนั้นจะได้กระทำตลอดไปจนถึงขั้นความผิดสำเร็จ ผลจะเกิดขึ้นในราชอาณาจักร ให้ถือว่า การตระเตรียมการหรือพยายามกระทำความผิดนั้นได้กระทำในราชอาณาจักร"
มาตรา 8,"ผู้ใดกระทำความผิดนอกราชอาณาจักร และ
(ก) ผู้กระทำความผิดนั้นเป็นคนไทย และรัฐบาลแห่งประเทศที่ความผิดได้เกิดขึ้น หรือผู้เสียหายได้ร้องขอให้ลงโทษ
(ข) ผู้กระทำความผิดนั้นเป็นคนต่างด้าว และรัฐบาลไทยหรือคนไทยเป็นผู้เสียหาย และผู้เสียหายได้ร้องขอให้ลงโทษ
(ในความผิด ก่อภยันตราย เอกสาร บัตรอิเล็ก หนังสือเดินทาง เพศ ชีวิต ร่างกาย ทอดทิ้ง เสรีภาพ ลัก วิ่ง กรร รีด ชิง ปล้น ฉ้อโกง ยักยอก รับของโจร ทำให้เสียทรัพย์)"
มาตรา 6,ความผิดที่ทำในราชฯหรือถือว่าได้กระทำในราชฯ การกระทำของผู้เป็นตัวการ สนับสนุน ผู้ใช้ ให้ถือว่าตัวการ ผู้สนับสนุน หรือผู้ใช้ให้กระทำได้กระทำในราชฯ
มาตรา 136 ดูหมิ่นเจ้าพนักงาน,ผู้ใดดูหมิ่นเจ้าพนักงานซึ่งกระทำตามหน้าที่ หรือเพราะได้กระทำการตามหน้าที่
มาตรา 137 แจ้งความเท็จ,ผู้ใดแจ้งข้อความเท็จแก่เจ้าพนักงาน ซึ่งอาจทำให้ผู้อื่นหรือประชาชนเสียหาย
มาตรา 138 ต่อสู้ ขัดขวางเจ้าพนักงาน,"ผู้ใดต่อสู้ หรือขัดขวางเจ้าพนักงานหรือผู้ซึ่งต้องช่วยเจ้าพนักงานตามกฎหมายในการปฏิบัติการตามหน้าที่
ว.2ถ้าได้กระทำโดยใช้กำลังประทุษร้ายหรือขู่เข็ญว่าจะใช้กำลังประทุษร้าย ผู้กระทำต้องระวางโทษ"
มาตรา 139 ข่มขืนใจเจ้าพนักงาน,ผู้ใดข่มขืนใจเจ้าพนักงานให้ปฏิบัติการอันมิชอบด้วยหน้าที่ หรือให้ละเว้นการปฏิบัติการตามหน้าที่ โดยใช้กำลังประทุษร้าย หรือขู่เข็ญว่าจะใช้กำลังประทุษร้าย
"มาตรา 140 บทหนัก 138 ,139","ถ้าตาม 138 ว.2 หรือ 139 ได้ทำโดยมีหรือใช้อาวุธ หรือร่วมกันทำตั้งแต่สามคนขึ้นไป
ว.2 อ้างอำนาจอั้งยี่หรือซ่องโจร ว.3 ใช้อาวุธปืนหรือวัตถุระเบิด"
มาตรา 141 ทำลายตราหรือเครื่องหมาย,ผู้ใดถอน ทำให้เสียหาย ทำลายหรือทำให้ไร้ประโยชน์ ตราหรือเครื่องหมายเจ้าพนักงานประทับหรือหมาย ในการหน้าที่ เพื่อเป็นหลักฐานในการยึด อายัดหรือรักษา
มาตรา 142 ทำต่อทรัพย์พนักงานยึด รักษาไว้,ผู้ใดทำให้เสียหาย ทำลาย ซ่อนเร้น เอาไปเสีย สูญหาย หรือไร้ประโยชน์ หรือเอกสารที่เจ้าพนักงานยึด รักษาไว้ หรือสั่งให้ส่งเป็นพยาน หรือเพื่อบังคับการให้เป็นไปตามกฎหมาย ไม่ว่าเจ้าพนักงานรักษาไว้เอง หรือสั่งให้ผู้อื่น ส่งหรือรักษาไว้
มาตรา 143 คนกลางเรียกรับสินบน,ผู้ใดเรียก รับ ยอมจะรับ ทรัพย์สินหรือประโยชน์ สำหรับตนเองหรือผู้อื่น ตอบแทนการจูงใจเจ้าพนักงาน สส/สว/สจ/สท โดยวิธีทุจริตหรือผิดกฎหมายหรือโดยอิทธิพล ให้กระทำการ หรือไม่กระทำการในหน้าที่อันเป็นคุณหรือเป็นโทษแก่บุคคลใด
มาตรา 144 ให้สินบนต่อเจ้าพนักงาน,ผู้ใดให้ ขอให้หรือรับว่าจะให้ทรัพย์สิน หรือประโยชน์ แก่เจ้าพนักงาน สส/สว/สจ/สท เพื่อจูงใจให้กระทำการ ไม่กระทำการ หรือประวิงการกระทำอันมิชอบด้วยหน้าที่
มาตรา 145 แสดงตนเป็นเจ้าพนักงาน,"ผู้ใดแสดงตนเป็นเจ้าพนักงาน และกระทำการเป็นเจ้าพนักงาน โดยมิได้เป็นเจ้าพนักงานที่มีอำนาจกระทำการนั้น
ว.2เจ้าพนักงานรับคำสั่งมิให้ปฏิบัติหน้าที่ต่อไปแล้วฝ่าฝืน"
มาตรา 146 สวมเครื่องแบบ/หมายที่ไม่มีสิทธิ,ผู้ใดไม่มีสิทธิสวมเครื่องแบบ เครื่องหมาย เพื่อให้บุคคลอื่นเชื่อว่าตนมีสิทธิ
มาตรา 147 เจ้าพนักงานยักยอก,ผู้ใดเป็นเจ้าพนักงาน มีหน้าที่ ซื้อ ทำ จัดการหรือรักษาทรัพย์ เบียดบังเป็นของตน หรือผู้อื่น โดยทุจริต หรือยอมให้ผู้อื่นเอา
มาตรา 148 เจ้าพนักงานใช้อำนาจมิชอบ,ผู้ใดเป็นเจ้าพนักงาน ใช้อำนาจในตำแหน่งโดยมิชอบ ข่มขืนใจหรือจูงใจให้มอบทรัพย์ให้หรือหามาให้ หรือประโยชน์แก่ตนเองหรือผู้อื่น
มาตรา 149 เจ้าพนักงานเรียก/รับสินบน,ผู้ใดเป็นเจ้าพนักงาน สส/สว/สท เรียก รับ ยอมจะรับทรัพย์สิน หรือประโยชน์แก่ตนเองหรือผู้อื่น เพื่อกระทำการหรือไม่กระทำการ ในตำแหน่ง ไม่ว่าการนั้นจะชอบหรือมิชอบด้วยหน้าที่
มาตรา 151 เจ้าพนักงานเกี่ยวกับทรัพย์ใช้อำนาจจนเสียหาย,ผู้ใดเป็นเจ้าพนักงาน มีหน้าที่ ซื้อ ทำ จัดการหรือรักษาทรัพย์ ใช้อำนาจในตำแหน่งโดยทุจริต เป็นการเสียหายแก่รัฐ เทศบาล สุขาภิบาลหรือเจ้าของทรัพย์นั้น
