เลขมาตรา,เนื้อหา / สาระสำคัญ
มาตรา 821 ตัวแทนเชิด,บุคคลผู้ใดเชิดบุคคลอีกคนหนึ่งออกแสดงเป็นตัวแทนของตนก็ดี รู้แล้วยอมให้บุคคลอีกคนหนึ่งเชิดตัวเองออกแสดงเป็นตัวแทนของตนก็ดี ท่านว่าบุคคลผู้นั้นจะต้องรับผิดต่อบุคคลภายนอกผู้สุจริตเสมือนว่าบุคคลอีกคนหนึ่งนั้นเป็นตัวแทนของตน
มาตรา 845 นายหน้า,"ผู้ที่ตกลงจะให้ค่านายหน้าเพื่อชี้ช่องหรือจัดการให้ทำสัญญา ต้องจ่ายค่านายหน้าเมื่อสัญญานั้นทำสำเร็จจากผลการชี้ช่องหรือจัดการของนายหน้า หากสัญญามีเงื่อนไขบังคับก่อน จะเรียกค่านายหน้าได้ก็ต่อเมื่อเงื่อนไขนั้นสำเร็จแล้ว
นายหน้ามีสิทธิได้รับค่าใช้จ่ายที่เสียไปต่อเมื่อมีการตกลงไว้ แม้สัญญาจะไม่สำเร็จก็ตาม"
มาตรา 865 ประกันภัย,"ถ้าผู้เอาประกันภัย หรือในกรณีประกันชีวิต บุคคลที่เกี่ยวข้อง รู้อยู่แล้วแต่ไม่เปิดเผยข้อเท็จจริงซึ่งอาจทำให้ผู้รับประกันภัยเรียกเบี้ยสูงขึ้นหรือไม่ยอมทำสัญญา หรือรู้อยู่แล้วแถลงเท็จ สัญญาประกันภัยนั้นเป็นโมฆียะ
แต่ถ้าไม่ใช้สิทธิบอกล้างภายใน 1 เดือนนับแต่วันที่ผู้รับประกันภัยทราบเหตุนั้น หรือไม่ใช้สิทธิภายใน 5 ปีนับแต่วันทำสัญญา สิทธิในการบอกล้างเป็นอันระงับ"
มาตรา 869 วินาศภัย,“วินาศภัย” หมายถึง ความเสียหายใด ๆ ที่สามารถประมาณเป็นเงินได้
มาตรา 870,"ถ้ามีการทำประกันภัยหลายรายเพื่อวินาศภัยเดียวกัน และวงเงินรวมสูงกว่าความเสียหายจริง ผู้รับประโยชน์มีสิทธิ์ได้รับค่าสินไหมเพียงเท่าความเสียหายจริง โดยผู้รับประกันภัยแต่ละรายต้องชำระตามส่วนที่ตนรับประกันไว้
หากสัญญาประกันภัยลงวันเดียวกัน ให้ถือว่าทำพร้อมกัน แต่ถ้าทำต่อเนื่องเป็นลำดับ ผู้รับประกันภัยรายแรกต้องรับผิดก่อน หากยังไม่คุ้มความเสียหาย รายถัดไปต้องชำระส่วนที่ขาดต่อไปจนเต็มจำนวน"
มาตรา 877,"ผู้รับประกันภัยต้องจ่ายค่าสินไหมทดแทนดังนี้
(1) ตามจำนวนวินาศภัยที่แท้จริง
(2) ความบุบสลายของทรัพย์ที่เอาประกันภัยไว้เพราะได้จัดการป้องกันความวินาศภัยตามสมควร
(3) ค่าใช้จ่ายสมควรที่เสียไปเพื่อรักษาทรัพย์ที่เอาประกันภัยมิให้วินาศ
จำนวนวินาศจริงให้ตีราคา ณ สถานที่และเวลาเกิดเหตุ โดยสันนิษฐานว่าจำนวนเงินที่เอาประกันภัยไว้เป็นหลักในการตีราคา และห้ามคิดค่าสินไหมเกินจำนวนที่เอาประกันภัย"
มาตรา 885 ประกันภัยในการรับขน,สัญญาประกันภัยในการขนส่งยังคงสมบูรณ์ แม้การขนจะหยุดชั่วคราว เปลี่ยนเส้นทาง หรือเปลี่ยนวิธีขนเพราะเหตุจำเป็น เว้นแต่จะกำหนดไว้เป็นอย่างอื่นในสัญญา
มาตรา 886,"กรมธรรม์ประกันภัยในการขนส่ง ต้องมีรายการเพิ่มเติมนอกจากมาตรา 867 ได้แก่
(1) ทางและวิธีขนส่ง
(2) ชื่อหรือยี่ห้อผู้ขนส่ง
(3) สถานที่รับและส่งมอบของ
(4) กำหนดเวลาขนส่ง"
มาตรา 899,ข้อความที่ไม่ได้บัญญัติไว้ในประมวลกฎหมายลักษณะนี้ หากเขียนลงในตั๋วเงิน ย่อมไม่มีผลแก่ตั๋วเงินนั้น
มาตรา 900,"ผู้ที่ลงลายมือชื่อในตั๋วเงินต้องรับผิดตามข้อความในตั๋วเงินนั้น
หากลงเพียงเครื่องหมาย เช่น แกงไดหรือลายนิ้วมือ แม้มีพยานรับรอง ก็ไม่ถือเป็นลายมือชื่อในตั๋วเงิน"
