เลขมาตรา,เนื้อหา / สาระสำคัญ
พ.ร.บ. การรับขนของทางทะเล 2534 มาตรา 3,"“ผู้ขนส่ง” ผู้ประกอบการรับขนของทางทะเลเพื่อบำเหน็จ โดยทำสัญญากับผู้ส่งของ
“ผู้ขนส่งอื่น” ผู้ที่มิได้ทำสัญญากับผู้ส่งของ แต่ได้รับมอบหมายจากผู้ขนส่งให้ทำการขนส่ง แม้เพียงบางช่วง และรวมถึงผู้ที่ได้รับมอบหมายช่วงต่อ แต่ไม่รวมผู้แทนที่ทำงานตามประเพณี เช่น ศุลกากร การนำร่อง การบรรทุก การขนถ่าย หรือการส่งมอบของ
“ผู้ส่งของ” คู่สัญญากับผู้ขนส่งในสัญญารับขนของทางทะเล
“ผู้รับตราส่ง”
(ก) ผู้มีชื่อในใบตราส่งว่าเป็นผู้รับของ
(ข) ผู้รับสลักหลังคนสุดท้าย สำหรับใบตราส่งที่ออกเพื่อเขาสั่ง
(ค) ผู้มีชื่อเป็นผู้รับของ เมื่อไม่มีการออกใบตราส่งหรือมีเอกสารอื่นแทน
“ภาชนะขนส่ง” ตู้สินค้า ไม้รองสินค้า หรือสิ่งอื่นที่ใช้บรรจุ รองรับหรือรวมหน่วยการขนส่ง
“หน่วยการขนส่ง” หน่วยของที่นับเป็นหนึ่ง เช่น กระสอบ ลัง ถัง ม้วน ห่อ หีบ เป็นต้น
“สัญญารับขนของทางทะเล” สัญญาที่ผู้ขนส่งรับขนของจากประเทศหนึ่งไปยังอีกประเทศหนึ่ง โดยคิดค่าระวาง
“ใบตราส่ง” เอกสารที่ผู้ขนส่งออกให้ผู้ส่งของ เป็นหลักฐานสัญญารับขน แสดงการรับของไว้ในความดูแลหรือบรรทุกลงเรือแล้ว และจะส่งมอบแก่ผู้มีสิทธิเมื่อเวนคืนใบตราส่ง"
มาตรา 4,"พระราชบัญญัตินี้ใช้บังคับแก่การขนส่งทางทะเลจากที่หนึ่งในราชอาณาจักรไปยังที่หนึ่งนอกราชอาณาจักร หรือจากที่หนึ่งนอกราชอาณาจักรมายังที่หนึ่งในราชอาณาจักร เว้นแต่ในใบตราส่งระบุใช้กฎหมายต่างประเทศหรือกฎหมายระหว่างประเทศ แต่ถ้าคู่กรณีฝ่ายหนึ่งเป็นคนไทยหรือนิติบุคคลไทย ต้องใช้พระราชบัญญัตินี้
การขนส่งทางทะเลภายในประเทศ ถ้าตกลงกันเป็นหนังสือให้ใช้พระราชบัญญัตินี้ ก็ให้ใช้โดยอนุโลม
การขนส่งโดยไม่คิดค่าระวาง ผู้ขนส่งไม่ต้องรับผิดตามพระราชบัญญัตินี้ เว้นแต่มีการออกใบตราส่ง ใบรับของ หรือเอกสารทำนองเดียวกัน ต้องระบุไว้ว่าไม่ต้องรับผิด มิฉะนั้นจะอ้างยันบุคคลภายนอกผู้รับตราส่งหรือผู้รับโอนสิทธิไม่ได้"
มาตรา 6,สัญญารับขนที่รวมการขนส่งทางทะเลและทางอื่น ให้อยู่ภายใต้พระราชบัญญัตินี้เฉพาะส่วนที่เกี่ยวกับการขนส่งทางทะเลเท่านั้น
มาตรา 8,"ก่อนบรรทุกของลงเรือหรือก่อนเรือออกเดินทาง ผู้ขนส่งมีหน้าที่
(1) ทำให้เรืออยู่ในสภาพที่สามารถเดินทะเลได้อย่างปลอดภัยในเส้นทางนั้น
(2) จัดให้มีคนประจำเรือ เครื่องมือ อุปกรณ์ และสิ่งจำเป็นที่เหมาะสมแก่เรือ
(3) จัดระวางบรรทุกและส่วนอื่น ๆ ให้เหมาะสมและปลอดภัยตามสภาพของที่จะขนส่งและรักษา เช่น เครื่องปรับอากาศ ห้องเย็น
การปฏิบัติหน้าที่ดังกล่าว ผู้ขนส่งต้องกระทำเท่าที่เป็นธรรมดาและสมควรสำหรับผู้ประกอบอาชีพขนส่งทางทะเล"
มาตรา 10,ผู้ขนส่งต้องใช้ความระมัดระวังและปฏิบัติอย่างเหมาะสมในการบรรทุก ยกขน เคลื่อนย้าย เก็บรักษา ดูแล และขนถ่ายของที่ตนรับขนส่ง
มาตรา 11,"ผู้ขนส่งมีสิทธิบรรทุกของบนปากระวางได้ต่อเมื่อมีข้อตกลงกับผู้ส่งของ หรือเป็นไปตามกฎหมาย หรือประเพณีทางการค้า
หากมีการตกลงบรรทุกบนปากระวาง ผู้ขนส่งต้องจดแจ้งไว้ในใบตราส่งหรือเอกสารหลักฐานสัญญารับขนของทางทะเล หากไม่มีการออกใบตราส่ง
ถ้าไม่มีการจดแจ้ง แต่ผู้ขนส่งอ้างว่ามีข้อตกลง ต้องเป็นหน้าที่ผู้ขนส่งพิสูจน์ แต่ไม่อาจยกเป็นข้อต่อสู้ผู้รับตราส่งหรือบุคคลภายนอกที่ไม่รู้ถึงข้อตกลงได้
หากบรรทุกบนปากระวางโดยฝ่าฝืน หรือไม่จดแจ้งข้อตกลง จะไม่ให้นำมาตรา 51 ถึงมาตรา 56 มาใช้บังคับ
ถ้ามีข้อตกลงชัดแจ้งให้บรรทุกในระวาง แต่ผู้ขนส่งกลับบรรทุกบนปากระวาง ให้ถือว่ากระทำหรืองดเว้นการกระทำตามมาตรา 60 (1)"
มาตรา 17,"ข้อกำหนดใดในสัญญารับขนของทางทะเลที่มีวัตถุประสงค์หรือผลดังนี้ เป็นโมฆะ
(1) ปลดเปลื้องผู้ขนส่งจากหน้าที่หรือความรับผิดตามพระราชบัญญัตินี้
(2) กำหนดความรับผิดของผู้ขนส่งให้น้อยกว่าที่มาตรา 58 หรือมาตรา 60 กำหนด
(3) โอนภาระการพิสูจน์ที่กฎหมายกำหนดให้เป็นหน้าที่ผู้ขนส่งไปให้ผู้ส่งของหรือบุคคลภายนอก
(4) ให้ผู้ขนส่งเป็นผู้รับประโยชน์ในสัญญาประกันภัยของตามสัญญารับขนของทางทะเล
ความเป็นโมฆะของข้อกำหนดดังกล่าวไม่กระทบถึงข้อกำหนดอื่นในสัญญา และถือว่าคู่สัญญาตั้งใจให้ข้ออื่นแยกจากกัน
ทั้งนี้ คู่กรณียังสามารถตกลงให้ผู้ขนส่งมีหน้าที่และความรับผิดมากกว่าที่กฎหมายกำหนดได้"
มาตรา 31,ผู้ส่งของไม่ต้องรับผิดหากผู้ขนส่งหรือเรือเสียหาย เว้นแต่เกิดจากความผิดหรือความประมาทของผู้ส่งของ ตัวแทน หรือลูกจ้าง หรือจากสภาพของของเองที่ผู้ส่งของไม่ปฏิบัติตามกฎหมายหรือประเพณีทางการค้า
มาตรา 33,"ของที่อาจก่อให้เกิดอันตราย เช่น ไวไฟ ระเบิด หรืออันตรายอื่น ผู้ส่งของต้องทำเครื่องหมายหรือป้ายแสดงอันตรายให้ชัดเจน
เมื่อส่งของเช่นนี้ให้ผู้ขนส่ง ผู้ส่งของต้องแจ้งถึงสภาพอันตราย และหากผู้ขนส่งร้องขอ ต้องแจ้งข้อควรระวังและวิธีป้องกันด้วย"
มาตรา 34,"หากผู้ส่งของไม่ปฏิบัติตามมาตรา 33 และผู้ขนส่งไม่ทราบถึงสภาพอันตราย
(1) ผู้ขนส่งอาจขนถ่าย ทำลาย หรือทำให้ของหมดฤทธิ์ได้ตามความจำเป็น โดยไม่ต้องชดใช้ค่าเสียหาย
(2) ผู้ส่งของยังต้องรับผิดในความเสียหายหรือค่าใช้จ่ายทั้งปวงจากการขนส่งนั้น นอกจากค่าใช้จ่ายตาม (1)"
