เลขมาตรา,เนื้อหา / สาระสำคัญ
มาตรา 137 ทรัพย์ วัตถุมีรูปร่าง,
มาตรา 138 ทรัพย์สิน ทรัพย์+วัตถุไม่มีรูปร่าง/มีราคา/ถือเอาได้,
มาตรา 139 อสังหาฯ ที่ดิน/ทรัพย์ติดกับดินถาวร/ประกอบอันเดียวกันกับดิน/ทรัพย์สิทธิ,
มาตรา 144 ส่วนควบ,"ส่วนที่ติดอยู่กับทรัพย์โดยสภาพ/จารีตเป็นสาระสำคัญ ไม่อาจแยกออกจากกัน นอกจากทำลาย/บุบสลาย/ทำให้ทรัพย์นั้นเปลี่ยนแปลงรูปทรงหรือสภาพไป
ว.2 เจ้าของทรัพย์ย่อมมีกรรมสิทธิ์ในส่วนควบ"
มาตรา 145 ไม้ยืนต้นเป็นส่วนควบกับที่ดินที่ขึ้น,ว.2 ไม้ล้มลุก/ธัญชาติเก็บเกี่ยวรวงผลได้คราวหนึ่งหรือหลายคราวต่อปีไม่เป็นส่วนควบ
มาตรา 146 ข้อยกเว้นไม่เป็นส่วนควบ,"- ทรัพย์ติดกับที่ดินเพียงชั่วคราว
- โรงเรือนที่สร้างขึ้นบนที่ดินโดยมีสิทธิ"
มาตรา 1299 การได้มาซึ่งอสังหาฯ,"ว.1 การได้มาซึ่งอสังหาฯหรือทรัพย์สิทธิอันเกี่ยวกับอสังหาฯ ทางนิติกรรม ถ้ายังไม่ทำเป็นหนังสือ+จดทะเบียนต่อ พนง.จนท. ไม่บริบูรณ์เป็นทรัพย์สิทธิ จะยกเป็นข้อต่อสู้กับบุคคลภายนอกไม่ได้เลย (ไม่ต้องพิจารณาสุจริต+เสียค่าตอบแทน)
ว.2 การได้มาซึ่งอสังหาฯหรือทรัพย์สิทธิอันเกี่ยวกับอสังหาฯโดยทางอื่นนอกจากนิติกรรม ถ้ายังไม่ได้จดทะเบียนกับ พนงจนท. จะเปลี่ยนแปลงทางทะเบียนไม่ได้ และห้ามมิให้ยกเป็นข้อต่อสู้กับบุคคลภายนอกผู้สุจริต/เสียค่าตอบแทน/จดทะเบียนโดยสุจริตแล้ว"
มาตรา 1300 เพิกถอนการจดทะเบียน,บุคคลผู้อยู่ในฐานะอันจดทะเบียนสิทธิได้อยู่ก่อน ถ้าผู้มีชื่อในทะเบียนจดทบ.โอนเป็นการเสียเปรียบ เพิกถอนการจทบ.นั้นได้ เว้นแต่ผู้รับโอนจะได้สิทธิมาโดยสุจริต+เสียค่าตอบแทน
มาตรา 1301 เปลี่ยนแปลงทะเบียน,การเปลี่ยนแปลง ระงับ กลับคืนในอสังหาฯ ให้ใช้หลักตาม 1299 1300
มาตรา 1303,สังหาฯ ใครครอบครองก่อนมีสิทธิดีกว่า (แต่ต้องอยู่ภายใต้หลักผู้รับโอนไม่มีสิทธิดีกว่าผู้โอน)
มาตรา 1304 สาธารณสมบัติ,"สาธารณสมบัติ คือ - ทรัพย์สินทุกชนิดที่ใช้เพื่อสาธารณประโยชน์
- สงวนไว้เพื่อประโยชน์ร่วมกัน
(1)ที่รกร้าง/เวนคืน/ทอดทิ้ง (2)ใช้ร่วมกัน (3)ใช้เฉพาะ*ป้อมปืน"
บทห้ามสาธารณะสมบัติของแผ่นดิน,"มาตรา 1305 ห้ามโอน
มาตรา 1306 ห้ามยกอายุความขึ้นต่อสู้กับแผ่นดิน
มาตรา 1307 ห้ามยึด"
มาตรา 1308 ที่งอกริมตลิ่ง,ที่ดินแปลงใดเกิดที่งอกริมตลิ่ง ที่งอกนั้นเป็นกรรมสิทธิ์ของเจ้าของที่ดิน
มาตรา 1309 สถานที่สาธารณะสมบัติ,เกาะที่เกิดในทะเลสาบ เขตน่านน้ำ ทางน้ำตื้นเขิน เป็นทรัพย์สินของแผ่นดิน
มาตรา 1310 สร้างในที่ดินผู้อื่นโดยสุจริต,"บุคคลใดสร้างโรงเรือนในที่ดินผู้อื่นโดยสุจริต เจ้าของที่ดินเป็นเจ้าของบ้าน แต่ต้องใช้ค่าแห่งที่ดินเท่าที่เพิ่มเพราะสร้างโรงเรือน
ว.2 ถ้าเจ้าของที่ดินไม่ประมาทจะบอกปัด+เรียกให้คนสร้างรื้อบ้านออกไป+ทำที่ดินให้ตามเดิม เว้นแต่ทำไม่ได้เพราะใช้เงินเยอะ เจ้าของที่ดินเรียกให้คนสร้างซื้อที่ดินทั้งหมด/บางส่วนตามราคาตลาดได้"
มาตรา 1311 สร้างในที่ดินผู้อื่นโดยไม่สุจริต,"บุคคลใดสร้างโรงเรือนในที่ดินโดยไม่สุจริต ต้องรื้อ+ทำที่ดินตามเดิม เว้นแต่เจ้าของที่ดินไม่ให้รื้อ แต่เจ้าของที่ดิน
- ใช้ราคาโรงเรือน
- ใช้ค่าแห่งที่ดินที่เพิ่มเพราะมีโรงเรือน"
มาตรา 1312 สร้างโรงเรือนรุกล้ำ,"บุคคลใดสร้างโรงเรือนรุกล้ำที่ดินผู้อื่นโดยสุจริต ผู้สร้างเป็นเจ้าของโรงเรือน แต่ต้องจ่ายค่าใช้ที่ดิน-เรียกให้เจ้าของที่ดินจดทะเบียนภาระจำยอมได้
ว.2 บุคคลใดสร้างรุกล้ำโดยไม่สุจริต ผู้สร้างต้องรื้อถอนโรงเรือน+ทำที่ดินให้เป็นตามเดิมโดยผู้สร้างออกค่าใช้จ่าย"
มาตรา 1314,"ให้นำมาตรา 1310 1311 มาใช้กับ
- การก่อสร้างซึ่งติดที่ดินในที่ผู้อื่น
- ปลูกไม้ยืนต้น/ธัญชาติในที่ดินผู้อื่น
(เฉพาะสร้างใน ไม่รวมรุกล้ำ)"
มาตรา 1329 บทคุ้มครองบุคคลภายนอก,นิติกรรมโมฆียะเพราะ สำคัญผิด กลฉ้อฉล ข่มขู่ คุ้มครองบุคคลภายนอกผู้สุจริตและเสียค่าตอบแทน
มาตรา 1330 คุ้มครองการซื้อจากการขายทอดตลาด,ผู้ซื้อทรัพย์จากการขายทอดตลาดโดยสุจริต สิทธิไม่เสียไป แม้ทรัพย์นั้นไม่ใช่ของจำเลย (คุ้มครองกรรมสิทธิ์)
มาตรา 1331 คุ้มครองการได้เงิน,ผู้ได้เงินตรามาโดยสุจริต สิทธิไม่เสียแม้พิสูจน์ว่าเงินตรานั้นไม่ใช่ของผู้โอนให้มา
มาตรา 1332 คุ้มครองการซื้อจากท้องตลาด,ผู้ซื้อของมาจาก ขายทอดตลาด/ท้องตลาด/พ่อค้าขายของชนิดนั้น โดยสุจริตไม่ต้องคืนทรัพย์ เว้นแต่เจ้าของชดใช้ราคา
มาตรา 1335 แดนกรรมสิทธิ์,แดนกรรมสิทธิ์กินทั้งใต้ดินและเหนือพื้นดิน
มาตรา 1336 สิทธิเจ้าของทรัพย์,เจ้าของกรรมสิทธิ์มีสิทธิ ใช้สอย/จำหน่าย/ได้ดอกผล/ติดตามเอาคืน/ขัดขวางมิให้ผู้อื่นเกี่ยวข้องกับทรัพย์สินนั้นโดยมิชอบ
