เลขมาตรา,เนื้อหา / สาระสำคัญ
มาตรา 454 คำมั่น,"คู่กรณีฝ่ายหนึ่งให้คำมั่นว่าจะซื้อหรือขาย จะมีผลเป็นการซื้อขายก็ต่อเมื่ออีกฝ่ายบอกกล่าวว่าจะทำการซื้อขายให้สำเร็จตลอดไป และคำบอกกล่าวนั้นถึงผู้ให้คำมั่นแล้ว
ถ้าในคำมั่นไม่กำหนดเวลา ผู้ให้คำมั่นอาจกำหนดเวลาที่เหมาะสม และบอกกล่าวให้อีกฝ่ายตอบเป็นแน่นอนภายในเวลานั้นว่าจะทำการซื้อขายหรือไม่ หากไม่ตอบภายในกำหนด คำมั่นที่ให้ไว้เป็นอันสิ้นผล"
มาตรา 456 แบบซื้อขายอสังหาฯ หลักฐานการฟ้อง,"การซื้อขายอสังหาริมทรัพย์ ถ้าไม่ทำเป็นหนังสือและจดทะเบียนต่อพนักงานเจ้าหน้าที่ เป็นโมฆะ วิธีนี้ใช้บังคับถึงการซื้อขายเรือที่มีระวางตั้งแต่ห้าตันขึ้นไป แพ และสัตว์พาหนะด้วย
สัญญาจะขายหรือจะซื้อ หรือคำมั่นในการซื้อขายทรัพย์สินตามวรรคหนึ่ง ถ้าไม่มีหลักฐานเป็นหนังสือที่ลงลายมือชื่อฝ่ายผู้ต้องรับผิด หรือไม่ได้วางมัดจำ หรือไม่ได้ชำระหนี้บางส่วน จะฟ้องร้องบังคับคดีไม่ได้
บทบัญญัตินี้ใช้บังคับถึงสัญญาซื้อขายสังหาริมทรัพย์ที่มีราคาตั้งแต่สองหมื่นบาทขึ้นไปด้วย"
มาตรา 458 กรรมสิทธิ์โอน,กรรมสิทธิ์ในทรัพย์สินที่ขาย โอนไปยังผู้ซื้อตั้งแต่เวลาที่ทำสัญญาซื้อขาย
มาตรา 459 กรรมสิทธิ์โอนมีเงื่อนไข,ถ้าสัญญาซื้อขายมีเงื่อนไขหรือกำหนดเวลา กรรมสิทธิ์ในทรัพย์สินยังไม่โอนไปจนกว่าจะเป็นไปตามเงื่อนไขหรือถึงกำหนดเวลานั้น
มาตรา 460 ซื้อขายที่ยังไม่กำหนด,"การซื้อขายทรัพย์สินที่ยังไม่กำหนดแน่นอน กรรมสิทธิ์ยังไม่โอนไปจนกว่าจะได้มีการหมาย นับ ชั่ง ตวง วัด คัดเลือก หรือวิธีอื่นเพื่อให้ทรัพย์นั้นบ่งตัวแน่นอน
ในการซื้อขายทรัพย์เฉพาะสิ่ง หากผู้ขายยังต้องนับ ชั่ง ตวง วัด หรือทำสิ่งใดเกี่ยวกับทรัพย์เพื่อให้ราคาทรัพย์แน่นอน กรรมสิทธิ์ยังไม่โอนไปจนกว่าสิ่งนั้นจะได้ทำเสร็จแล้ว"
มาตรา 465 การส่งมอบบกพร่อง,"(1) ถ้าผู้ขายส่งมอบทรัพย์สินน้อยกว่าที่สัญญา ผู้ซื้อจะไม่รับเลยก็ได้ แต่ถ้ารับไว้ ต้องจ่ายราคาตามส่วน
(2) ถ้าผู้ขายส่งมอบทรัพย์สินมากกว่าที่สัญญา ผู้ซื้อจะรับไว้ตามสัญญาและปัดส่วนเกินทิ้งก็ได้ หรือจะไม่รับทั้งหมดก็ได้ แต่ถ้ารับทั้งหมด ต้องจ่ายราคาตามส่วน
(3) ถ้าผู้ขายส่งมอบทรัพย์สินตามสัญญาปะปนกับทรัพย์อื่นที่ไม่ได้ตกลงไว้ ผู้ซื้อจะรับแต่ตามสัญญาและปัดส่วนเกินทิ้งก็ได้ หรือจะไม่รับทั้งหมดก็ได้"
มาตรา 466,"ในการซื้อขายอสังหาริมทรัพย์ หากระบุจำนวนเนื้อที่ไว้ แต่ผู้ขายส่งมอบน้อยหรือมากกว่าที่สัญญา ผู้ซื้อจะปฏิเสธ หรือรับไว้และจ่ายราคาตามส่วนก็ได้
ถ้าขาดตกบกพร่องหรือล้ำจำนวนไม่เกินร้อยละห้าของเนื้อที่ทั้งหมด ผู้ซื้อต้องรับไว้และจ่ายราคาตามส่วน เว้นแต่กรณีที่ความคลาดเคลื่อนนั้นมากจนถ้าผู้ซื้อทราบก่อนคงจะไม่ทำสัญญา ก็เลิกสัญญาได้"
มาตรา 467 อายุความ,การฟ้องคดีเกี่ยวกับทรัพย์ที่ขาดตกบกพร่องหรือล้ำจำนวน ต้องยื่นภายในหนึ่งปีนับแต่วันส่งมอบ หากพ้นกำหนดจะฟ้องไม่ได้
มาตรา 472 ความรับผิดเพื่อชำรุดบกพร่อง,"ถ้าทรัพย์สินที่ขายมีความชำรุดบกพร่องจนทำให้เสื่อมราคา หรือใช้ประโยชน์ตามปกติหรือประโยชน์ที่ตกลงกันไม่ได้ ผู้ขายต้องรับผิด
มาตรานี้ย่อมใช้ได้ ทั้งที่ผู้ขายรู้อยู่แล้วหรือไม่รู้ว่าความชำรุดบกพร่องมีอยู่"
มาตรา 473 ผู้ขายไม่ต้องรับผิด,"ผู้ขายไม่ต้องรับผิดในกรณีดังนี้
(1) ผู้ซื้อรู้อยู่แล้วในเวลาซื้อขายว่าทรัพย์มีความชำรุดบกพร่อง หรือควรรู้ได้หากใช้ความระมัดระวังสมควร
(2) ความชำรุดบกพร่องเห็นได้ชัดในเวลาส่งมอบ และผู้ซื้อรับไว้โดยไม่ทักท้วง
(3) ทรัพย์นั้นขายทอดตลาด"
มาตรา 474,การฟ้องคดีเรื่องความชำรุดบกพร่อง ต้องฟ้องภายในหนึ่งปีนับแต่วันที่พบเห็นความชำรุดบกพร่อง
มาตรา 475 การรอนสิทธิ,ถ้ามีบุคคลมารบกวนสิทธิของผู้ซื้อในการครองทรัพย์ เพราะบุคคลนั้นมีสิทธิเหนือทรัพย์ที่ซื้อขายกันอยู่ในขณะซื้อขาย หรือเพราะความผิดของผู้ขาย ผู้ขายต้องรับผิดในผลที่เกิดขึ้น
มาตรา 476,ถ้าผู้ซื้อรู้อยู่แล้วในเวลาซื้อขายถึงสิทธิของผู้ก่อการรบกวน ผู้ขายไม่ต้องรับผิด
มาตรา 477,เมื่อการรบกวนสิทธิกลายเป็นคดีระหว่างผู้ซื้อกับบุคคลภายนอก ผู้ซื้อมีสิทธิขอให้ศาลเรียกผู้ขายเข้ามาเป็นจำเลยร่วม หรือเป็นโจทก์ร่วม เพื่อให้ศาลวินิจฉัยข้อพิพาททั้งหมดในคดีเดียวกัน
มาตรา 479,ถ้าทรัพย์สินที่ซื้อขายกันหลุดไปจากผู้ซื้อทั้งหมดหรือบางส่วนเพราะการรอนสิทธิ หรือทรัพย์นั้นตกอยู่ในบังคับแห่งสิทธิใด ๆ อันทำให้เสื่อมราคา เสื่อมความเหมาะสมในการใช้ เสื่อมความสะดวก หรือเสื่อมประโยชน์ที่จะได้จากทรัพย์ และผู้ซื้อไม่รู้ในเวลาซื้อขาย ผู้ขายต้องรับผิด
มาตรา 483 ข้อสัญญาว่าจะไม่ต้องรับผิด,คู่สัญญาซื้อขายอาจตกลงกันได้ว่าผู้ขายจะไม่ต้องรับผิดในความชำรุดบกพร่องหรือการรอนสิทธิ
มาตรา 484,ข้อสัญญาเว้นความรับผิด ไม่คุ้มให้ผู้ขายพ้นจากการคืนเงินตามราคา เว้นแต่จะระบุไว้เป็นอย่างอื่น
มาตรา 485,ข้อสัญญาเว้นความรับผิด ไม่อาจคุ้มถึงกรณีที่ผู้ขายเป็นผู้ก่อให้เกิดผลนั้นเอง หรือกรณีที่ผู้ขายรู้อยู่แล้วถึงข้อเท็จจริงและจงใจปกปิด
มาตรา 491 ขายฝาก,ขายฝาก คือสัญญาซื้อขายที่กรรมสิทธิ์ตกแก่ผู้ซื้อ โดยมีข้อตกลงว่าผู้ขายมีสิทธิไถ่ทรัพย์คืนได้
มาตรา 492 การไถ่,"ถ้ามีการไถ่ภายในเวลาที่สัญญาหรือกฎหมายกำหนด หรือผู้ไถ่วางสินไถ่ต่อสำนักงานวางทรัพย์ภายในกำหนดโดยสละสิทธิถอน ทรัพย์สินจะตกเป็นของผู้ไถ่ตั้งแต่ชำระสินไถ่หรือวางทรัพย์แล้วแต่กรณี
กรณีมีการวางทรัพย์ เจ้าพนักงานสำนักงานวางทรัพย์ต้องรีบแจ้งผู้รับไถ่ โดยไม่ต้องปฏิบัติตามมาตรา 333 วรรคสาม"
มาตรา 493,ในการขายฝาก คู่สัญญาอาจตกลงห้ามผู้ซื้อจำหน่ายทรัพย์ที่ขายฝากได้ หากผู้ซื้อฝ่าฝืน ต้องรับผิดในความเสียหายที่เกิดขึ้น
มาตรา 494 ระยะเวลา,"ห้ามใช้สิทธิไถ่เมื่อพ้นกำหนด
(1) อสังหาริมทรัพย์ 10 ปีนับแต่ซื้อขาย
(2) สังหาริมทรัพย์ 3 ปีนับแต่ซื้อขาย"
มาตรา 495,ถ้าในสัญญากำหนดเวลาไถ่เกินกว่ากำหนด ให้ลดลงเหลือ 10 ปี และ 3 ปี ตามประเภททรัพย์
มาตรา 496 ขยายเวลา,"กำหนดเวลาไถ่อาจขยายได้ แต่รวมแล้วต้องไม่เกินเวลาตามมาตรา 494
การขยายเวลาต้องมีหลักฐานเป็นหนังสือลงลายมือชื่อผู้รับไถ่ ถ้าเป็นทรัพย์ที่ต้องทำหนังสือและจดทะเบียน ห้ามยกขึ้นต่อสู้บุคคลภายนอกผู้สุจริต เว้นแต่จะได้จดทะเบียนหรือจดแจ้งแล้ว"
มาตรา 497 สิทธิไถ่ทรัพย์ ใช้ได้โดย,"(1) ผู้ขายเดิมหรือทายาท
(2) ผู้รับโอนสิทธิ
(3) บุคคลที่กำหนดไว้ในสัญญาโดยเฉพาะ"
มาตรา 498,"สิทธิไถ่ทรัพย์ ใช้ได้เฉพาะต่อ
(1) ผู้ซื้อเดิมหรือทายาท
(2) ผู้รับโอนทรัพย์หรือสิทธิเหนือทรัพย์นั้น แต่ถ้าเป็นสังหาริมทรัพย์ใช้สิทธิได้ต่อเมื่อผู้รับโอนรู้ว่าทรัพย์อยู่ในบังคับสิทธิไถ่"
มาตรา 499 สินไถ่,"ถ้าไม่กำหนดสินไถ่ ให้ไถ่ตามราคาขายฝาก
ถ้าสินไถ่หรือราคาที่กำหนดสูงกว่าราคาจริงเกินร้อยละ 15 ต่อปี ให้ไถ่ตามราคาจริงบวกผลตอบแทนร้อยละ 15 ต่อปี"
มาตรา 500,ค่าธรรมเนียมการขายฝากที่ผู้ซื้อออก ผู้ไถ่ต้องชำระคืนพร้อมสินไถ่ ค่าธรรมเนียมการไถ่ ผู้ไถ่ต้องออกเอง
มาตรา 501 คืนทรัพย์ที่ไถ่,ทรัพย์ที่ไถ่ ต้องส่งคืนตามสภาพที่เป็นอยู่ แต่ถ้าเสียหายหรือถูกทำลายเพราะความผิดของผู้ซื้อ ผู้ซื้อชดใช้ค่าสินไหมทดแทน
มาตรา 502,"ทรัพย์ที่ไถ่ ผู้ไถ่ได้รับคืนโดยปลอดจากสิทธิใด ๆ ที่ผู้ซื้อเดิม ทายาท หรือผู้รับโอนก่อขึ้นก่อนเวลาไถ่
แต่หากมีการเช่าที่จดทะเบียนต่อพนักงานเจ้าหน้าที่ไว้ และมิได้ทำเพื่อให้ผู้ขายเสียหาย สัญญาเช่าที่ยังคงเหลืออยู่จะยังมีผล แต่ไม่เกิน 1 ปี"
มาตรา 537,เช่าทรัพย์สิน คือสัญญาที่ผู้ให้เช่าตกลงให้ผู้เช่าได้ใช้หรือได้รับประโยชน์จากทรัพย์สินชั่วระยะเวลาที่กำหนด และผู้เช่าตกลงจ่ายค่าเช่า
มาตรา 538 หลักฐานการเช่า,"การเช่าอสังหาริมทรัพย์ ถ้าไม่มีหลักฐานเป็นหนังสือลงลายมือชื่อฝ่ายที่ต้องรับผิด จะฟ้องบังคับคดีไม่ได้
ถ้าเช่ากำหนดเกิน 3 ปี หรือตลอดอายุผู้เช่าหรือผู้ให้เช่า หากไม่ทำเป็นหนังสือและจดทะเบียนต่อพนักงานเจ้าหน้าที่ จะฟ้องบังคับได้เพียงสามปี"
มาตรา 544 เช่าช่วง,"ผู้เช่าไม่มีสิทธิให้เช่าช่วงหรือโอนสิทธิในทรัพย์ที่เช่าไม่ว่าทั้งหรือบางส่วน เว้นแต่ตกลงไว้ในสัญญา
หากฝ่าฝืน ผู้ให้เช่ามีสิทธิบอกเลิกสัญญาได้"
มาตรา 545,"ถ้าผู้เช่าให้ผู้อื่นเช่าช่วงโดยชอบ ผู้เช่าช่วงต้องรับผิดต่อผู้ให้เช่าเดิมโดยตรง และไม่อาจอ้างการที่ตนได้จ่ายค่าเช่าแก่ผู้เช่าแล้วขึ้นต่อสู้ผู้ให้เช่าได้
ทั้งนี้ ไม่ตัดสิทธิผู้ให้เช่าที่จะใช้สิทธิต่อผู้เช่าโดยตรง"
มาตรา 549 หน้าที่และความรับผิดของผู้ให้เช่า,การส่งมอบทรัพย์ที่เช่า ความรับผิดของผู้ให้เช่าในกรณีชำรุดบกพร่องหรือรอนสิทธิ และผลของข้อสัญญาขอยกเว้นความรับผิด ให้บังคับตามบทบัญญัติเรื่องการซื้อขายโดยอนุโลม
มาตรา 551,ถ้าทรัพย์ที่เช่ามีความชำรุดบกพร่องซึ่งไม่ถึงกับทำให้ผู้เช่าเสียการใช้หรือประโยชน์ และยังแก้ไขได้ ผู้เช่าต้องบอกกล่าวให้ผู้ให้เช่าแก้ไขก่อน หากผู้ให้เช่าไม่จัดการภายในเวลาอันสมควร ผู้เช่ามีสิทธิบอกเลิกสัญญาได้เมื่อความชำรุดนั้นร้ายแรงสมควรแก่เหตุ
มาตรา 552 หน้าที่และความรับผิดของผู้เช่า,ผู้เช่าไม่มีสิทธิใช้ทรัพย์ที่เช่าเพื่อการอื่นนอกจากการใช้ตามประเพณีปกติ หรือที่กำหนดไว้ในสัญญา
มาตรา 553,ผู้เช่าต้องดูแลทรัพย์ที่เช่าเสมือนทรัพย์ของตนเอง และต้องบำรุงรักษารวมทั้งซ่อมแซมเล็กน้อยด้วย
มาตรา 554,ถ้าผู้เช่าฝ่าฝืนมาตรา 552 มาตรา 553 หรือข้อสัญญา ผู้ให้เช่าอาจบอกกล่าวให้แก้ไข หากผู้เช่าไม่ปฏิบัติ ผู้ให้เช่ามีสิทธิบอกเลิกสัญญาได้
มาตรา 558,ทรัพย์สินที่เช่า ผู้เช่าจะดัดแปลงหรือต่อเติมใด ๆ ไม่ได้หากไม่ได้รับอนุญาตจากผู้ให้เช่าก่อน หากฝ่าฝืน ผู้ให้เช่าเรียกร้องให้ผู้เช่าคืนสภาพเดิม และผู้เช่าต้องรับผิดในความสูญหายหรือเสียหายที่เกิดจากการดัดแปลงต่อเติมนั้นด้วย
มาตรา 560,"ถ้าผู้เช่าไม่ชำระค่าเช่า ผู้ให้เช่ามีสิทธิบอกเลิกสัญญาได้
แต่ถ้าค่าเช่ากำหนดชำระเป็นรายเดือนหรือระยะเวลานานกว่านั้น ผู้ให้เช่าต้องบอกกล่าวให้ผู้เช่าชำระภายในเวลาที่กำหนด ซึ่งต้องไม่น้อยกว่าสิบห้าวัน"
มาตรา 564 ความระงับแห่งสัญญาเช่า,สัญญาเช่าระงับเมื่อสิ้นกำหนดเวลาที่ตกลงกันไว้ โดยไม่ต้องบอกกล่าวล่วงหน้า
มาตรา 566,ถ้าไม่ได้กำหนดเวลาเช่าไว้ หรือไม่อาจสันนิษฐานได้ คู่สัญญาฝ่ายใดจะบอกเลิกสัญญาเมื่อสิ้นงวดชำระค่าเช่าใดก็ได้ แต่ต้องบอกกล่าวล่วงหน้าไม่น้อยกว่าหนึ่งงวดค่าเช่า และไม่เกินสองเดือน
มาตรา 569,สัญญาเช่าอสังหาริมทรัพย์ไม่ระงับเพราะการโอนกรรมสิทธิ์ ทรัพย์ที่เช่ายังคงอยู่กับผู้เช่า ผู้รับโอนต้องรับทั้งสิทธิและหน้าที่ของผู้โอนต่อผู้เช่าด้วย
มาตรา 570,เมื่อสัญญาเช่าสิ้นกำหนด หากผู้เช่ายังคงครองทรัพย์อยู่ และผู้ให้เช่ารู้อยู่แต่ไม่ทักท้วง ให้ถือว่าคู่สัญญาได้ทำสัญญาเช่าใหม่ต่อไปโดยไม่มีกำหนดเวลา
มาตรา 572,เช่าซื้อ คือสัญญาที่เจ้าของให้เช่าทรัพย์และให้คำมั่นว่าจะขายหรือโอนสิทธิให้ผู้เช่า เมื่อผู้เช่าชำระเงินครบตามที่กำหนด หากสัญญาไม่ทำเป็นหนังสือ เป็นโมฆะ
มาตรา 573,ผู้เช่าสามารถบอกเลิกสัญญาเมื่อใดก็ได้ โดยคืนทรัพย์ให้เจ้าของและออกค่าใช้จ่ายเอง
มาตรา 574,"ถ้าผิดนัดไม่ชำระเงินสองงวดติดกัน หรือผิดสัญญาในข้อสำคัญ เจ้าของมีสิทธิบอกเลิกสัญญา ริบเงินที่ชำระมาแล้ว และกลับเข้าครองทรัพย์ได้
แต่ถ้าผิดสัญญาเพราะไม่ชำระงวดสุดท้าย เจ้าของริบเงินที่ชำระมาแล้วและกลับเข้าครองทรัพย์ได้ ต่อเมื่อพ้นกำหนดอีกหนึ่งงวด"
