เลขมาตรา,เนื้อหา / สาระสำคัญ
มาตรา 420,ผู้ใดจงใจหรือประมาทเลินเล่อ ทำต่อบุคคลอื่นโดยผิดกฎหมายเสียหายถึงแก่ชีวิต แก่ร่างกาย อนามัย เสรีภาพ ทรัพย์สินหรือสิทธิอย่างหนึ่งอย่างใด ผู้นั้นทำละเมิด จำต้องใช้ค่าสินไหมทดแทนเพื่อการนั้น
มาตรา 421 การใช้สิทธิโดยไม่สุจริต,การใช้สิทธิซึ่งมีแต่จะก่อให้เกิดความเสียหายแก่ผู้อื่น ถือว่าเป็นการไม่ชอบด้วยกฎหมาย
มาตรา 423 หมิ่นประมาททางแพ่ง,"ใดกล่าวหรือไขข่าวแพร่หลายซึ่งข้อความอันฝ่าฝืนต่อความจริง ทำให้เสียชื่อเสียง เกียรติคุณ การทำมาหาได้ หรือความเจริญในทางอื่น ต้องใช้ค่าสินไหมทดแทน แม้ไม่รู้ว่าข้อความนั้นไม่จริง แต่หากควรรู้ได้ก็ต้องรับผิด
แต่ถ้าผู้ส่งข่าวสารไม่รู้ว่าไม่จริง และตนหรือผู้รับข่าวสารมีส่วนได้เสียโดยชอบ ก็ไม่ต้องรับผิด"
มาตรา 424,ศาลพิพากษาคดีละเมิดและกำหนดค่าสินไหมทดแทนได้ โดยไม่ต้องยึดตามกฎหมายอาญาเรื่องโทษ และไม่ต้องพิจารณาว่าผู้กระทำผิดถูกลงโทษทางอาญาหรือไม่
มาตรา 425 นายจ้างร่วมรับผิดกับลูกจ้าง,นายจ้างต้องร่วมกันรับผิดกับลูกจ้างในผลแห่งละเมิด ซึ่งลูกจ้างได้กระทำไปในทางการที่จ้าง
มาตรา 426 สิทธิไล่เบี้ย,ถ้านายจ้างได้ใช้ค่าสินไหมทดแทนให้แก่บุคคลภายนอกเพื่อละเมิดอันลูกจ้างได้ทำ ชอบที่จะได้ชดใช้จากลูกจ้าง
มาตรา 427 ตัวการ,บทบัญญัติในมาตราสองก่อนให้ใช้บังคับแก่ตัวการและตัวแทนด้วย
มาตรา 428 จ้างทำของ,ผู้ว่าจ้างทำของไม่ต้องรับต่อความเสียหายอันผู้รับจ้างได้ก่อให้เกิดขึ้นแก่บุคคลภายนอก ในระหว่างทำงาน เว้นแต่ผู้ว่าจ้างมีความผิดในงานที่สั่ง คำสั่งที่ให้ หรือการเลือกผู้รับจ้าง
มาตรา 429 ร่วมรับผิดกับผู้ไร้ความสามารถ,ผู้เยาว์หรือวิกลจริตต้องรับผิดในผลละเมิดของตน และบิดามารดาหรือผู้อนุบาลต้องร่วมรับผิด เว้นแต่พิสูจน์ได้ว่าได้ใช้ความระมัดระวังสมควรแล้ว
มาตรา 430,ครู อาจารย์ นายจ้าง หรือผู้ดูแลบุคคลไร้ความสามารถ ต้องร่วมรับผิดกับผู้ไร้ความสามารถในละเมิดที่เกิดขึ้นระหว่างการดูแล เว้นแต่พิสูจน์ได้ว่าได้ใช้ความระมัดระวังสมควร
มาตรา 431,ให้ใช้บทบัญญัติมาตรา 426 แก่กรณีตามมาตรา 429 และ 430
มาตรา 432 ร่วมกันละเมิด,"ถ้าหลายคนร่วมกันทำละเมิดจนเกิดความเสียหาย ต้องร่วมกันรับผิด แม้ไม่รู้แน่ว่าใครเป็นผู้ก่อ และผู้ยุยงหรือช่วยเหลือก็ถือว่าเป็นผู้ร่วมละเมิดด้วย
ผู้ร่วมรับผิดต้องรับผิดเท่า ๆ กัน เว้นแต่ศาลจะวินิจฉัยเป็นอย่างอื่น"
มาตรา 433 ความเสียหายเกิดจากสัตว์,"ถ้าความเสียหายเกิดจากสัตว์ เจ้าของหรือผู้รับเลี้ยง ต้องชดใช้ อันเกิดแต่สัตว์ เว้นแต่พิสูจน์ได้ว่าใช้ความระมัดระวังสมควรแล้ว หรือความเสียหายย่อมต้องเกิดขึ้นแม้ใช้ความระมัดระวังเพียงนั้น
ผู้รับผิดอาจไล่เบี้ยเอากับผู้ที่เร้าหรือยั่วสัตว์ หรือเจ้าของสัตว์อื่นที่ทำให้เกิดเหตุนั้น"
