เลขมาตรา,เนื้อหา / สาระสำคัญ
มาตรา 1012,สัญญาจัดตั้งห้างหุ้นส่วนหรือบริษัท คือสัญญาที่บุคคลสองคนขึ้นไป ตกลงทำกิจการร่วมกัน เพื่อแบ่งปันกำไรจากกิจการนั้น
มาตรา 1013,"ห้างหุ้นส่วนหรือบริษัทแบ่งเป็นสามประเภท คือ
(1) ห้างหุ้นส่วนสามัญ
(2) ห้างหุ้นส่วนจำกัด
(3) บริษัทจำกัด"
มาตรา 1025,ห้างหุ้นส่วนสามัญ คือห้างหุ้นส่วนที่มีผู้เป็นหุ้นส่วนทุกคนต้องรับผิดร่วมกันในหนี้ทั้งหมดของหุ้นส่วนโดยไม่จำกัด
มาตรา 1029 นำทรัพย์มาให้ใช้เป็นการลงหุ้น,ถ้าหุ้นส่วนคนใดนำทรัพย์สินมาให้ใช้เป็นการลงหุ้น ความสัมพันธ์ระหว่างหุ้นส่วนนั้นกับห้างหุ้นส่วนในเรื่องการส่งมอบ การซ่อมแซม ความรับผิดเพื่อชำรุดบกพร่อง หรือการรอนสิทธิ รวมถึงข้อยกเว้นความรับผิด ให้บังคับตามบทบัญญัติว่าด้วยเช่าทรัพย์
มาตรา 1030 โอนทรัพย์มาเป็นการลงหุ้น,ถ้าหุ้นส่วนคนใดโอนกรรมสิทธิ์ในทรัพย์สินมาเป็นการลงหุ้น ความสัมพันธ์ระหว่างหุ้นส่วนนั้นกับห้างหุ้นส่วนในเรื่องการส่งมอบ การซ่อมแซม ความรับผิดเพื่อชำรุดบกพร่อง หรือการรอนสิทธิ รวมถึงข้อยกเว้นความรับผิด ให้บังคับตามบทบัญญัติว่าด้วยซื้อขาย
มาตรา 1033 สิทธิจัดการได้,"ถ้าหุ้นส่วนไม่ได้ตกลงกันเรื่องการจัดการห้าง หุ้นส่วนทุกคนย่อมมีสิทธิ์จัดการได้ แต่ถ้าหุ้นส่วนคนหนึ่งจะทำสัญญาใดแล้วมีอีกคนทักท้วง ก็ไม่อาจทำได้
ในกรณีนี้ ให้ถือว่าหุ้นส่วนทุกคนเป็นหุ้นส่วนผู้จัดการ"
มาตรา 1035 จัดการที่ทักท้วงไม่ได้,ถ้าตกลงให้หุ้นส่วนหลายคนจัดการห้างหุ้นส่วน หุ้นส่วนผู้จัดการแต่ละคนสามารถจัดการได้ แต่จะทำการใดที่หุ้นส่วนผู้จัดการอีกคนหนึ่งทักท้วงไม่ได้
มาตรา 1038 ห้ามประกอบกิจการแข่งขัน,"ผู้เป็นหุ้นส่วนห้ามประกอบกิจการที่มีสภาพเหมือนและแข่งขันกับห้างหุ้นส่วน ไม่ว่าทำเพื่อตนหรือผู้อื่น หากไม่ได้รับความยินยอม
ถ้าฝ่าฝืน มีสิทธิเรียกเอากำไรที่ได้ทั้งหมด หรือเรียกค่าสินไหมทดแทนจากความเสียหาย แต่ห้ามฟ้องเมื่อพ้น 1 ปีนับแต่วันฝ่าฝืน"
มาตรา 1049,ผู้เป็นหุ้นส่วนจะถือเอาสิทธิใด ๆ แก่บุคคลภายนอกในกิจการค้าขายซึ่งไม่ปรากฏชื่อของตนนั้นหาได้ไม่
มาตรา 1050 หุ้นส่วนผูกพันร่วมกัน,การใดที่ผู้เป็นหุ้นส่วนคนหนึ่งทำไปตามปกติการค้าของห้างหุ้นส่วน หุ้นส่วนทุกคนต้องผูกพันและรับผิดร่วมกันไม่จำกัดจำนวนในการชำระหนี้ที่เกิดจากการนั้น
