เลขมาตรา,เนื้อหา / สาระสำคัญ
มาตรา 1435 เงื่อนไขการหมั้น,การหมั้นทำได้เมื่อคู่หมั้นทั้งสองมีอายุครบ 17 ปี หากฝ่าฝืนถือเป็นโมฆะ
มาตรา 1437 สมบูรณ์การหมั้น สินสอด การคืน,"การหมั้นสมบูรณ์เมื่อผู้หมั้นส่งมอบหรือโอนของหมั้นให้แก่ผู้รับหมั้นเป็นหลักฐานว่าจะสมรส ของหมั้นตกเป็นสิทธิของผู้รับหมั้น
สินสอด คือทรัพย์ที่ผู้หมั้นให้แก่บิดามารดา ผู้รับบุตรบุญธรรมหรือผู้ปกครองของผู้รับหมั้น เพื่อตอบแทนการยอมสมรส หากไม่มีการสมรสเพราะเหตุสำคัญที่เกิดจากผู้รับหมั้น หรือเพราะพฤติการณ์ที่ผู้รับหมั้นต้องรับผิด ผู้หมั้นเรียกคืนสินสอดได้
การคืนของหมั้นหรือสินสอด ให้นำบทบัญญัติตามมาตรา 412 ถึง 418 เรื่องลาภมิควรได้มาใช้โดยอนุโลม"
มาตรา 1439 ผิดสัญญาหมั้น,หากฝ่ายใดผิดสัญญาหมั้น อีกฝ่ายมีสิทธิเรียกค่าทดแทน และถ้าผู้รับหมั้นเป็นฝ่ายผิด ต้องคืนของหมั้นแก่ผู้หมั้นด้วย
มาตรา 1440 ค่าทดแทนเรียก,"ค่าทดแทนเรียกได้ดังนี้
(1) ความเสียหายต่อกายหรือชื่อเสียงของคู่หมั้น
(2) ความเสียหายจากค่าใช้จ่ายหรือหนี้ที่เกิดจากการเตรียมสมรสโดยสุจริตและสมควร
(3) ความเสียหายจากการจัดการทรัพย์สินหรือการงานโดยคาดหมายว่าจะสมรส
ถ้าผู้รับหมั้นมีสิทธิได้ค่าทดแทน ศาลอาจกำหนดให้ของหมั้นเป็นค่าทดแทนทั้งหมดหรือบางส่วน หรือกำหนดค่าทดแทนโดยไม่คำนึงถึงของหมั้นก็ได้"
มาตรา 1441,หากคู่หมั้นฝ่ายหนึ่งตายก่อนสมรส อีกฝ่ายไม่มีสิทธิเรียกค่าทดแทน และของหมั้นหรือสินสอดไม่ต้องคืน ไม่ว่าฝ่ายใดจะตาย
มาตรา 1442 บอกเลิกสัญญาและเรียกคืนของหมั้น,หากมีเหตุสำคัญเกิดแก่ผู้รับหมั้น ทำให้ผู้หมั้นไม่สมควรสมรส ผู้หมั้นมีสิทธิบอกเลิกสัญญาและเรียกคืนของหมั้นได้
มาตรา 1443 ผู้รับหมั้นไม่สมควรสมรส,หากมีเหตุสำคัญเกิดแก่ผู้หมั้น ทำให้ผู้รับหมั้นไม่สมควรสมรส ผู้รับหมั้นบอกเลิกสัญญาได้โดยไม่ต้องคืนของหมั้น
มาตรา 1444 ชั่วร้ายแรง,หากคู่หมั้นบอกเลิกเพราะการกระทำชั่วร้ายแรงของอีกฝ่ายที่เกิดหลังการหมั้น คู่หมั้นผู้กระทำผิดต้องชดใช้ค่าทดแทนเสมือนเป็นฝ่ายผิดสัญญาหมั้น
มาตรา 1448 อายุ,การสมรสทำได้เมื่อคู่สมรสทั้งสองมีอายุครบ 17 ปี แต่ศาลอาจอนุญาตให้สมรสก่อนอายุนี้ได้
มาตรา 1449 วิกลจริต,การสมรสทำไม่ได้ถ้าฝ่ายใดวิกลจริตหรือถูกศาลสั่งเป็นคนไร้ความสามารถ
มาตรา 1450 ญาติสืบสายโลหิต,ญาติสืบสายโลหิตโดยตรง หรือพี่น้องร่วมบิดามารดา ร่วมบิดาหรือมารดา จะสมรสกันไม่ได้ ไม่ว่าญาติโดยชอบด้วยกฎหมายหรือไม่
มาตรา 1451 บุตรบุญธรรม,ผู้รับบุตรบุญธรรมและบุตรบุญธรรมสมรสกันไม่ได้
มาตรา 1452 สมรสซ้อน,บุคคลที่มีคู่สมรสอยู่แล้วจะสมรสใหม่ไม่ได้
มาตรา 1453 สมรสใหม่,"หญิงที่การสมรสสิ้นสุดต้องรออย่างน้อย 310 วันจึงจะสมรสใหม่ เว้นแต่
(1) คลอดบุตรแล้ว
(2) สมรสกับคู่สมรสเดิม
(3) มีใบรับรองแพทย์ว่าไม่ได้ตั้งครรภ์
(4) ศาลมีคำสั่งอนุญาตให้สมรสได้"
มาตรา 1454 ผู้เยาว์,ผู้เยาว์สมรส ต้องปฏิบัติตามมาตรา 1436 โดยอนุโลม
มาตรา 1455 ความยินยอม,"การให้ความยินยอมสมรสทำได้โดย
(1) ลงลายมือชื่อในทะเบียน
(2) ทำเป็นหนังสือลงลายมือชื่อผู้ให้ความยินยอม
(3) หากจำเป็น อาจให้ด้วยวาจาต่อหน้าพยานอย่างน้อย 2 คน ความยินยอมเมื่อให้แล้วถอนกลับไม่ได้"
มาตรา 1457,การสมรสมีผลตามกฎหมายเมื่อจดทะเบียนเท่านั้น
มาตรา 1458 ยินยอม,การสมรสต้องยินยอมกัน และแสดงต่อหน้านายทะเบียน ซึ่งต้องบันทึกไว้
มาตรา 1461 ช่วยเหลืออุปการะ,"คู่สมรสต้องอยู่กินด้วยกันฉันสามีภริยา
ต้องช่วยเหลืออุปการะเลี้ยงดูกันตามความสามารถและฐานะ"
มาตรา 1465,"หากคู่สมรสไม่ได้ทำสัญญาทรัพย์สินก่อนสมรส ให้บังคับตามบทบัญญัติในหมวดนี้
ถ้าสัญญาก่อนสมรสขัดต่อความสงบเรียบร้อย ศีลธรรมอันดี หรือกำหนดให้ใช้กฎหมายต่างประเทศ ข้อความนั้นเป็นโมฆะ"
มาตรา 1466 สัญญาก่อนสมรส,สัญญาก่อนสมรสเป็นโมฆะ หากไม่จดแจ้งไว้ในทะเบียนสมรสพร้อมการจดทะเบียนสมรส หรือไม่ทำเป็นหนังสือลงลายมือชื่อคู่สมรสและพยานอย่างน้อย 2 คน แนบไว้ท้ายทะเบียนสมรสและจดแจ้งไว้ในทะเบียนสมรส
มาตรา 1469,สัญญาทรัพย์สินที่คู่สมรสทำต่อกัน ระหว่างสมรสฝ่ายใดฝ่ายหนึ่งบอกล้างได้ตลอดเวลาที่สมรสอยู่ หรือภายใน 1 ปีนับแต่สิ้นสมรส แต่ต้องไม่กระทบสิทธิของบุคคลภายนอกที่สุจริต
มาตรา 1471 สินส่วนตัว,"(1) ทรัพย์ที่มีอยู่ก่อนสมรส
(2) เครื่องใช้สอยส่วนตัว เครื่องแต่งกาย เครื่องประดับตามฐานะ หรือเครื่องมือจำเป็นในการประกอบอาชีพของคู่สมรสฝ่ายใดฝ่ายหนึ่ง
(3) ทรัพย์ที่ได้มาระหว่างสมรสโดยมรดกหรือการให้โดยเสน่หา
(4) ของหมั้น"
มาตรา 1472,"หากสินส่วนตัวถูกแลกเปลี่ยน ซื้อ หรือขายเป็นเงิน ทรัพย์หรือเงินที่ได้มาเป็นสินส่วนตัว
หากสินส่วนตัวถูกทำลายแล้วได้ทรัพย์หรือเงินชดเชย ทรัพย์หรือเงินนั้นก็เป็นสินส่วนตัว"
มาตรา 1473 การจัดการ,สินส่วนตัว คู่สมรสฝ่ายใดเป็นผู้จัดการเอง
มาตรา 1474 สินสมรส,"(1) ทรัพย์ที่ได้มาระหว่างสมรส
(2) ทรัพย์ที่ได้มาระหว่างสมรสโดยพินัยกรรมหรือการให้เป็นหนังสือที่ระบุว่าเป็นสินสมรส
(3) ดอกผลของสินส่วนตัว
ถ้ามีข้อสงสัย ให้สันนิษฐานว่าเป็นสินสมรส"
มาตรา 1476 การจัดการ,"การจัดการสินสมรสตระต้องทำร่วมกันหรือได้รับความยินยอมจากอีกฝ่ายในกรณีดังนี้
(1) ขาย แลกเปลี่ยน ขายฝาก ให้เช่าซื้อ จำนอง ปลดจำนอง หรือโอนสิทธิจำนองในอสังหาริมทรัพย์หรือสังหาริมทรัพย์ที่จำนองได้
(2) ก่อหรือยกเลิกภาระจำยอม สิทธิอาศัย สิทธิเหนือพื้นดิน สิทธิเก็บกิน หรือภาระติดพันในอสังหาริมทรัพย์
(3) ให้เช่าอสังหาริมทรัพย์เกิน 3 ปี
(4) ให้กู้ยืมเงิน
(5) ให้โดยเสน่หา เว้นแต่ที่สมควรแก่ฐานะครอบครัว การกุศล สังคม หรือหน้าที่ธรรมจรรยา
(6) ประนีประนอมยอมความ
(7) มอบข้อพิพาทให้อนุญาโตตุลาการชี้ขาด
(8) นำทรัพย์สินไปเป็นประกันต่อเจ้าพนักงานหรือศาล
นอกจากกรณีดังกล่าว คู่สมรสฝ่ายใดฝ่ายหนึ่งจัดการสินสมรสได้โดยไม่ต้องขอความยินยอมจากอีกฝ่าย"
มาตรา 1480 ความยินยอม,"หากการจัดการสินสมรสที่ต้องทำร่วมกันหรือได้รับความยินยอมตามมาตรา 1476 ถูกทำโดยฝ่ายหนึ่งเพียงลำพังหรือโดยไม่มีความยินยอม อีกฝ่ายอาจฟ้องศาลเพิกถอนได้ เว้นแต่ได้ให้สัตยาบันแล้วหรือบุคคลภายนอกได้กระทำโดยสุจริตและเสียค่าตอบแทน
การฟ้องเพิกถอนต้องทำภายใน 1 ปีนับแต่รู้เหตุ หรือภายใน 10 ปีนับแต่วันที่ทำนิติกรรม"
มาตรา 1481,คู่สมรสฝ่ายใดไม่มีสิทธิทำพินัยกรรมยกสินสมรสเกินกว่าส่วนของตนให้ผู้อื่นได้
มาตรา 1490 หนี้ระหว่างสมรส,"หนี้ที่คู่สมรสตระต้องร่วมรับผิด รวมถึงหนี้ที่เกิดขึ้นระหว่างสมรส ดังนี้
(1) หนี้เกี่ยวกับการจัดการบ้านเรือน สิ่งจำเป็นของครอบครัว การเลี้ยงดู รักษาพยาบาล และการศึกษาของบุตรตามสมควร
(2) หนี้เกี่ยวกับสินสมรส
(3) หนี้จากการงานที่ทำร่วมกัน
(4) หนี้ที่คู่สมรสฝ่ายหนึ่งก่อเพื่อตนเอง แต่อีกฝ่ายให้สัตยาบัน"
มาตรา 1491,หากคู่สมรสฝ่ายใดถูกพิพากษาล้มละลาย สินสมรสย่อมแยกจากกันโดยอัตโนมัติตั้งแต่วันที่ศาลพิพากษา
