เลขมาตรา,เนื้อหา / สาระสำคัญ
มาตรา 640 ยืมใช้คงรูป,ยืมใช้คงรูป คือสัญญาที่ผู้ให้ยืมอนุญาตให้ผู้ยืมใช้สอยทรัพย์สินสิ่งหนึ่งโดยไม่คิดค่าใช้ และผู้ยืมตกลงว่าจะคืนทรัพย์สินนั้นเมื่อใช้เสร็จแล้ว
มาตรา 643,ถ้าผู้ยืมใช้ทรัพย์ผิดไปจากปกติหรือจากที่กำหนดในสัญญา เอาไปให้ผู้อื่นใช้ หรือเก็บไว้นานเกินควร ผู้ยืมต้องรับผิดหากทรัพย์สูญหายหรือเสียหาย แม้เกิดจากเหตุสุดวิสัย เว้นแต่พิสูจน์ได้ว่าทรัพย์จะสูญหายหรือเสียหายอยู่แล้วไม่ว่ากรณีใด
มาตรา 650 ยืมใช้สิ้นเปลือง,"ยืมใช้สิ้นเปลือง คือ สัญญาที่ผู้ให้ยืมโอนกรรมสิทธิ์ในทรัพย์ชนิดใช้ไปสิ้นไปเป็นปริมาณกำหนดแก่ผู้ยืม และผู้ยืมตกลงจะคืนทรัพย์ประเภท ชนิด และปริมาณเช่นเดียวกันแทน
สัญญานี้สมบูรณ์เมื่อส่งมอบทรัพย์สิน"
มาตรา 653 หลักฐานการกู้,"การกู้ยืมเงินเกินสองพันบาท หากไม่มีหลักฐานเป็นหนังสือลงลายมือชื่อผู้ยืม จะฟ้องบังคับคดีไม่ได้
ในการกู้ยืมที่มีหลักฐานเป็นหนังสือ จะสืบการใช้เงินได้ก็ต่อเมื่อ มีหลักฐานเป็นหนังสือลงลายมือชื่อผู้ให้ยืม หรือเวนคืน หรือแทงเพิกถอนแล้ว"
มาตรา 654 ห้ามดอกเบี้ยทบต้น,"ห้ามคิดดอกเบี้ยบนดอกเบี้ยที่ค้างชำระ เว้นแต่ดอกเบี้ยค้างไม่น้อยกว่าหนึ่งปี คู่สัญญาจะตกลงให้ทบต้นแล้วคิดดอกเบี้ยต่อไปได้ แต่ต้องทำเป็นหนังสือ
การคำนวณดอกทบต้นตามประเพณีการค้าหรือบัญชีเดินสะพัด ไม่อยู่ภายใต้ข้อห้ามนี้"
มาตรา 656 ให้ของแทนชำระหนี้,"ถ้ากู้ยืมเงินแล้วผู้กู้ยอมส่งสิ่งของหรือทรัพย์อื่นแทนเงิน ให้คิดหนี้เป็นจำนวนเท่าราคาท้องตลาดของสิ่งนั้นในเวลาและสถานที่ส่งมอบ
ถ้าผู้ให้กู้ยอมรับสิ่งของหรือทรัพย์อื่นแทนการชำระหนี้ หนี้ระงับตามราคาท้องตลาดของสิ่งนั้นในเวลาและสถานที่ส่งมอบ
ข้อตกลงใดที่ขัดกับหลักนี้เป็นโมฆะ"
มาตรา 680 ค้ำประกัน,ค้ำประกัน คือสัญญาที่บุคคลภายนอก เรียกว่าผู้ค้ำประกัน ผูกพันตนต่อเจ้าหนี้เพื่อชำระหนี้แทนเมื่อลูกหนี้ไม่ชำระ หากไม่มีหลักฐานเป็นหนังสือลงลายมือชื่อผู้ค้ำประกัน จะฟ้องบังคับคดีไม่ได้
มาตรา 681 ค้ำประกันหนี้ในอนาคต,"ค้ำประกันทำได้เฉพาะหนี้ที่สมบูรณ์
หนี้ในอนาคตหรือมีเงื่อนไขก็ประกันได้ หากระบุวัตถุประสงค์ของหนี้ ลักษณะมูลหนี้ จำนวนเงินสูงสุดที่ค้ำ และระยะเวลา เว้นแต่เป็นการค้ำประกันกิจการต่อเนื่องตามมาตรา 699 ไม่จำเป็นต้องระบุระยะเวลา
สัญญาค้ำประกันต้องระบุหนี้หรือสัญญาที่ค้ำไว้อย่างชัด ผู้ค้ำรับผิดเฉพาะหนี้ที่ระบุเท่านั้น
หนี้ที่ไม่ผูกพันลูกหนี้เพราะสำคัญผิดหรือไร้ความสามารถ ก็อาจมีการค้ำประกันได้ หากผู้ค้ำรู้ถึงข้อดังกล่าวในขณะทำสัญญา"
มาตรา 681/1 ลูกหนี้ร่วม โมฆะ,"ข้อตกลงให้ผู้ค้ำรับผิดเสมือนลูกหนี้ร่วม/เป็นลูกหนี้ร่วม เป็นโมฆะ
แต่หากผู้ค้ำเป็นนิติบุคคลและยอมรับผิดเช่นนั้น ข้อตกลงย่อมใช้ได้ และผู้ค้ำประกันซึ่งเป็นนิติบุคคลไม่มีสิทธิตามมาตรา 688, 689 และ 690"
มาตรา 682 ผู้รับเรือน,"บุคคลอาจเป็นผู้รับเรือน คือเป็นประกันของผู้ค้ำอีกชั้นหนึ่งได้
หากมีหลายคนค้ำหนี้รายเดียวกัน ผู้ค้ำต้องรับผิดเสมือนลูกหนี้ร่วม แม้จะไม่ได้เข้ารับค้ำประกันพร้อมกัน"
